rxcui;nui;drugname
315184;N0000151693;POTASSIUM GLUCONATE 2.2MEQ TAB [VA Product]
315185;N0000151695;POTASSIUM GLUCONATE 2.6MEQ TAB [VA Product]
315186;N0000156186;POVIDONE IODINE 10% SUPP,VAG [VA Product]
315187;N0000150782;PREDNISONE 1MG/ML SOLN,ORAL [VA Product]
315187;N0000150779;PREDNISONE 5MG/5ML SOLN,ORAL [VA Product]
315187;N0000150781;PREDNISONE 5MG/5ML SYRUP [VA Product]
315188;N0000149168;PROGESTERONE 25MG/ML INJ (IN OIL) [VA Product]
315190;N0000153756;PROTEOLYTIC ENZYME 20000UNT TAB [VA Product]
315192;N0000157487;PSYLLIUM MUCILLOID 1.6GM/SUCROSE 3.4GM/5GM PWDR,OR
315193;N0000150865;QUINETHAZONE 50MG/RESERPINE 0.125MG TAB [VA Produc
315195;N0000156957;QUININE SO4 65MG/VITAMIN E 400UNT CAP [VA Product]
315197;N0000165472;RESERPINE 1MG TAB [VA Product]
315198;N0000153866;SALICYLIC ACID 60% OINT,TOP [VA Product]
315199;N0000157235;SARGRAMOSTIM 250MCG/VIL (PF) INJ [VA Product]
315199;N0000157237;SARGRAMOSTIM 250MCG/VIL INJ [VA Product]
315200;N0000153557;SCOPOLAMINE HBR 0.43MG/0.5ML INJ [VA Product]
315201;N0000149162;SECOBARBITAL NA 50MG CAP [VA Product]
315203;N0000152222;SELENIOUS ACID 50MCG/ML INJ [VA Product]
315207;N0000156399;SILVER PROTEIN,MILD 10% SOLN,OPH [VA Product]
315208;N0000157873;TOBRAMYCIN SO4 0.6MG/ML/NACL 0.9% INJ [VA Product]
315209;N0000157874;TOBRAMYCIN SO4 0.8MG/ML/NACL 0.9% INJ [VA Product]
315211;N0000149347;SODIUM CHLORIDE 1GM TAB,EC [VA Product]
315213;N0000152968;SODIUM FLUORIDE 1MG TAB,CHEWABLE [VA Product]
315213;N0000152959;SODIUM FLUORIDE 2.2MG TAB,CHEWABLE [VA Product]
315214;N0000152984;SODIUM FLUORIDE 2.25MG/ML DROPS,ORAL [VA Product]
315216;N0000157219;SOMATREM 5MG/VIL INJ [VA Product]
315217;N0000165923;STAVUDINE (d4T) 5MG/5ML SUSP [VA Product]
315218;N0000149323;STREPTOMYCIN SO4 500MG/ML INJ [VA Product]
315219;N0000150222;SULFISOXAZOLE ACETYL 1GM/5ML SUSP,ORAL [VA Product
315220;N0000156713;SULFUR 10% CREAM [VA Product]
315222;N0000151101;SULINDAC 200MG TAB,EC [VA Product]
315223;N0000158179;SUMATRIPTAN SUCCINATE 25MG TAB [VA Product]
315227;N0000152388;TETRACAINE HCL 0.5% SOLN,TOP [VA Product]
315231;N0000150831;THIORIDAZINE HCL 10MG TAB,EC [VA Product]
315233;N0000148962;THYROID 130MG CAP [VA Product]
315234;N0000148959;THYROID 195MG TAB [VA Product]
315235;N0000148967;THYROID 300MG TAB [VA Product]
315236;N0000148961;THYROID 65MG CAP [VA Product]
315238;N0000155760;TOCOPHERYL ACETATE,DL-ALPHA 200MG/ML INJ [VA Produ
315239;N0000150810;TOLBUTAMIDE NA 1GM/VIL INJ [VA Product]
315241;N0000152656;TRIPELENNAMINE HCL 2% CREAM,TOP [VA Product]
315243;N0000154080;UREA 40GM/BTL INJ,IU [VA Product]
315243;N0000154079;UREA 40GM/BTL INJ,IV [VA Product]
316934;N0000135675;12 hour Extended Release Tablet [Dose Form]
316935;N0000135676;16 Hour Transdermal Patch [Dose Form]
316936;N0000135678;24 Hour Extended Release Tablet [Dose Form]
316937;N0000135679;24 Hour Transdermal Patch [Dose Form]
316938;N0000135680;72 Hour Transdermal Patch [Dose Form]
316939;N0000135684;Biweekly Transdermal Patch [Dose Form]
316941;N0000135690;Chewable Bar [Dose Form]
316942;N0000135695;Disintegrating Tablet [Dose Form]
316943;N0000135703;Extended Release Capsule [Dose Form]
316944;N0000135704;Extended Release Enteric Coated Capsule [Dose Form
316945;N0000135707;Extended Release Tablet [Dose Form]
316946;N0000135706;Extended Release Suspension [Dose Form]
316947;N0000135708;Flakes [Dose Form]
316948;N0000135709;Foam [Dose Form]
316949;N0000135717;Injectable Solution [Dose Form]
316950;N0000135718;Injectable Suspension [Dose Form]
316951;N0000135721;Intraperitoneal Solution [Dose Form]
316952;N0000135723;Intravenous Solution [Dose Form]
316953;N0000135727;Liquid Cleanser [Dose Form]
316954;N0000135730;Medicated Bar Soap [Dose Form]
316955;N0000135731;Medicated Liquid Soap [Dose Form]
316956;N0000135735;Mucous Membrane Topical Solution [Dose Form]
316957;N0000135736;Nasal Cream [Dose Form]
316958;N0000010006;Nasal Drops [Dose Form]
316959;N0000135738;Nasal Inhalant [Dose Form]
316960;N0000135737;Nasal Gel [Dose Form]
316961;N0000135739;Nasal Ointment [Dose Form]
316962;N0000135740;Nasal Solution [Dose Form]
316963;N0000135746;Ophthalmic Gel [Dose Form]
316964;N0000135750;Ophthalmic Suspension [Dose Form]
316965;N0000135751;Oral Capsule [Dose Form]
316966;N0000135752;Oral Cream [Dose Form]
316968;N0000135758;Oral Solution [Dose Form]
316969;N0000135760;Oral Suspension [Dose Form]
316970;N0000135762;Orderable Drug Form [Dose Form]
316971;N0000135763;Otic Cream [Dose Form]
316972;N0000135764;Otic Ointment [Dose Form]
316973;N0000135765;Otic Solution [Dose Form]
316974;N0000135766;Otic Suspension [Dose Form]
316975;N0000135773;Rectal Cream [Dose Form]
316976;N0000135777;Rectal Powder [Dose Form]
316977;N0000135779;Rectal Spray [Dose Form]
316978;N0000135780;Rectal Suppository [Dose Form]
316979;N0000135781;Rectal Suspension [Dose Form]
316980;N0000135788;Sustained Release Buccal Tablet [Dose Form]
316981;N0000148212;SYRUP
316981;N0000135789;Syrup [Dose Form]
316982;N0000135792;Topical Cream [Dose Form]
316983;N0000135795;Topical Lotion [Dose Form]
316984;N0000135796;Topical Oil [Dose Form]
316985;N0000135797;Topical Ointment [Dose Form]
316986;N0000135799;Topical Solution [Dose Form]
316987;N0000135801;Transdermal Patch [Dose Form]
316988;N0000135808;Vaginal Powder [Dose Form]
316989;N0000135812;Wafer [Dose Form]
316990;N0000135813;Weekly Transdermal Patch [Dose Form]
316992;N0000135729;Lozenge [Dose Form]
316993;N0000135683;Beads [Dose Form]
316995;N0000135701;Enteric Coated Capsule [Dose Form]
316997;N0000135677;24 Hour Extended Release Capsule [Dose Form]
316998;N0000135705;Extended Release Enteric Coated Tablet [Dose Form]
316999;N0000135711;Gas for Inhalation [Dose Form]
317000;N0000135715;Inhalant Powder [Dose Form]
317001;N0000135722;Intrathecal Suspension [Dose Form]
317002;N0000010018;Oral Drops [Dose Form]
317004;N0000135771;Powder Spray [Dose Form]
317005;N0000135776;Rectal Ointment [Dose Form]
317006;N0000135778;Rectal Solution [Dose Form]
317007;N0000135785;Sublingual Tablet [Dose Form]
317008;N0000010020;Tincture [Dose Form]
317009;N0000135798;Topical Powder [Dose Form]
317010;N0000135807;Vaginal Ointment [Dose Form]
317011;N0000157433;MERCURIC OXIDE,YELLOW 1% OINT,OPH [VA Product]
317012;N0000150735;METHENAMINE MANDELATE 500MG TAB,EC [VA Product]
317014;N0000157685;NA FLUORIDE 0.2MG/SD ALCOHOL 38-B 6.65%/ML LIQUID 
317055;N0000156839;AL OH 200MG/MG OH 200MG/SIMETHICONE 20MG TAB,CHEWA
317056;N0000152477;ALLERGENIC EXTRACT, 9 GRASS MIX, SOUTHERN 10000PNU
317058;N0000154796;ALUMINUM CHLORIDE 10% PASTE [VA Product]
317059;N0000160032;ALUMINUM CL 25%/HYDROXYQUINOLINE 0.1%/TETRACAINE 0
317060;N0000157452;APAP 125MG/DM 5MG/GG 50MG/PSEUDEFED 15MG/5ML LIQUI
317075;N0000151199;CEFTIZOXIME NA 10GM/VIL INJ [VA Product]
317077;N0000150341;CHLORDIAZEPOXIDE 10MG/ESTROGENS,ESTERIFIED 0.4MG T
317080;N0000165173;COAL TAR 10% OINT,TOP [VA Product]
317080;N0000153610;COAL TAR 2% OINT,TOP [VA Product]
317084;N0000160042;CTM 0.06%/ALCOHOL 35%/PYRILAMINE 0.44% LOTION [VA 
317094;N0000165989;ENTACAPONE 200MG TAB [VA Product]
317102;N0000157632;GLUTARALDEHYDE 2% SOLN [VA Product]
317104;N0000153066;GLYCERIN 50% INJECTION [VA Product]
317106;N0000151105;HYDROXOCOBALAMIN 1000MCG/ML INJ [VA Product]
317106;N0000151106;HYDROXOCOBALAMIN ACETATE 1000MCG/ML INJ [VA Produc
317110;N0000158061;ISOSORBIDE MONONITRATE 30MG TAB,SA [VA Product]
317119;N0000150922;LOXAPINE HCL 25MG/ML LIQUID,ORAL [VA Product]
317120;N0000156691;MAGNESIUM OXIDE 600MG/PYRIDOXINE HCL 25MG TAB [VA 
317121;N0000149225;MAGNESIUM SO4 4MEQ/ML (PF) INJ [VA Product]
317121;N0000149221;MAGNESIUM SO4 4MEQ/ML INJ [VA Product]
317127;N0000150917;MINOCYCLINE HCL 100MG/VIL INJ [VA Product]
317128;N0000156344;MISOPROSTOL 200MCG TAB [VA Product]
317128;N0000163155;MISOPROSTOL 200MCG TAB,UD [VA Product]
317130;N0000157680;MIVACURIUM CL 2MG/ML INJ [VA Product]
317135;N0000154750;NIACINAMIDE 100MG/ML INJ [VA Product]
317136;N0000149471;NORTRIPTYLINE HCL 25MG CAP [VA Product]
317136;N0000161728;NORTRIPTYLINE HCL 25MG CAP,UD [VA Product]
317137;N0000151574;NOVOBIOCIN NA 250MG CAP [VA Product]
317139;N0000154149;OXYTOCIN 0.01UNT/ML/DEXTROSE 5% INJ [VA Product]
317143;N0000157449;PIPERONYL BUTOXIDE 2%/PYRETHRINS 0.3% LIQUID,TOP [
317145;N0000156182;POVIDONE IODINE 1% SOLN,TOP [VA Product]
317146;N0000156174;POVIDONE IODINE 5% CREAM,TOP [VA Product]
317150;N0000165985;RITONAVIR 100MG (SOFT GELATIN) CAP [VA Product]
317150;N0000165846;RITONAVIR 100MG CAP [VA Product]
317152;N0000153884;SALICYLIC ACID 2% CREAM [VA Product]
317152;N0000153888;SALICYLIC ACID 2% CREAM,TOP [VA Product]
317153;N0000156698;SALICYLIC ACID 1.5%/SULFUR 2% LIQUID,TOP [VA Produ
317153;N0000156699;SALICYLIC ACID 2%/SULFUR 1.5% LIQUID,TOP [VA Produ
317154;N0000156727;SILICONE 30%/STARCH 10% OINT,TOP [VA Product]
317156;N0000152957;SODIUM FLUORIDE 1MG LOZENGE [VA Product]
317160;N0000161921;TEMOZOLOMIDE 100MG CAP [VA Product]
317161;N0000152390;TETRACAINE HCL 2% SOLN,TOP [VA Product]
317168;N0000151628;WATER/BENZYL ALCOHOL 0.5% INJ [VA Product]
317169;N0000155365;WATER/METHYLPARABEN 0.1%/PROPYLPARABEN 0.025% INJ 
317173;N0000165545;CAPTOPRIL 25MG TAB [VA Product]
317173;N0000165950;CAPTOPRIL 25MG TAB,UD [VA Product]
317174;N0000160976;QUETIAPINE FUMARATE 200MG TAB [VA Product]
317174;N0000162229;QUETIAPINE FUMARATE 200MG TAB,UD [VA Product]
317176;N0000146495;ALBUMIN,AGGREGATED
317177;N0000146516;ALBUMIN,IODINATED I-125 SERUM
317177;N0000020225;ALBUMIN,IODINATED SERUM,I-125
317179;N0000020271;ALLERGENIC EXTRACT, 10 TREE MIX
317179;N0000146623;ALLERGENIC EXTRACT, 10 TREE MIX
317179;N0000020270;ALLERGENIC EXTRACT,10 TREE MIX
317180;N0000147234;ALLERGENIC EXTRACT, CHAETOMIUM GLOBOSUM
317181;N0000146615;ALLERGENIC EXTRACT, COMMON MUGWORT
317181;N0000020262;ALLERGENIC EXTRACT,MUGWORT,COMMON
317184;N0000147464;ALLERGENIC EXTRACT, DUST
317184;N0000021042;ALLERGENIC EXTRACT,DUST
317185;N0000146631;ALLERGENIC EXTRACT, ELM, CHINESE & AMERICAN, POLLE
317186;N0000146649;ALLERGENIC EXTRACT, FEATHER MIX
317186;N0000020292;ALLERGENIC EXTRACT,FEATHER MIX
317188;N0000146614;ALLERGENIC EXTRACT, LAMB QUARTERS
317188;N0000020261;ALLERGENIC EXTRACT,LAMB QUARTERS
317189;N0000146632;ALLERGENIC EXTRACT, MESQUITE
317191;N0000147239;ALLERGENIC EXTRACT, NIGROSPORA SPHAERICA
317192;N0000147432;ALLERGENIC EXTRACT, ORCHARD POLLEN
317193;N0000146712;ALLERGENIC EXTRACT, PER PRESCRIPTION
317193;N0000020349;ALLERGENIC EXTRACT,PER PRESCRIPTION
317194;N0000146690;ALLERGENIC EXTRACT, SWEET GUM POLLEN
317195;N0000146618;ALLERGENIC EXTRACT, THISTLE, RUSSIAN
317195;N0000020265;ALLERGENIC EXTRACT,THISTLE,RUSSIAN
317196;N0000146704;ALLERGENIC EXTRACT, TRICOTHECIUMROSEUM MOLD
317197;N0000146612;ALLERGENIC EXTRACT, WEED, CARELESS
317197;N0000020259;ALLERGENIC EXTRACT,WEED,CARELESS
317199;N0000147484;ALLERGENIC EXTRACT,AGARICUS CAMPESTRIS
317201;N0000147393;AMMONIA,AROMATIC
317206;N0000147321;CALCIUM CREOSOTATE
317207;N0000147350;CALCIUM IODIZED
317216;N0000146066;COBALAMIN CONCENTRATE
317229;N0000147381;FERRIC CACODYLATE
317235;N0000145955;INSULIN,NPH,BEEF
317235;N0000145943;INSULIN,NPH,BEEF/PURIFIED
317235;N0000179762;isophane insulin, beef [Chemical/Ingredient]
317238;N0000147465;ISOMETHEPTENE MUCATE (1:1)
317246;N0000147013;MAGNESIUM ACETATE TETRAHYDRATE
317250;N0000147682;NEISSERIA MENINGITIDIS OMPC
317251;N0000147307;NICOTINAMIDE HYDRIODIDE
317268;N0000148195;SD ALCOHOL 40
317282;N0000154706;ORPHENADRINE CITRATE 30MG/2ML INJ [VA Product]
317541;N0000135761;Oral Tablet [Dose Form]
317542;N0000135774;Rectal Foam [Dose Form]
317543;N0000135803;Urethral Suppository [Dose Form]
317544;N0000135745;Ophthalmic Cream [Dose Form]
317564;N0000151072;HYDROCORTISONE 1% AEROSOL,TOP [VA Product]
317564;N0000151031;HYDROCORTISONE ACETATE 1% AEROSOL,TOP [VA Product]
317570;N0000153710;OXYTETRACYCLINE HCL 250MG CAP [VA Product]
317573;N0000161817;PIOGLITAZONE HCL 15MG TAB [VA Product]
317580;N0000147233;ALLERGENIC EXTRACT, CEPHALOTHECIUM ROSEUM
317581;N0000147236;ALLERGENIC EXTRACT, FUSARIUM ROSEUM
317583;N0000147242;ALLERGENIC EXTRACT, PHOMA HIBERNICA
317584;N0000147462;ALLERGENIC EXTRACT, RAGWEED STOCK POLLEN
317584;N0000021039;ALLERGENIC EXTRACT,RAGWEED STOCK POLLEN
317585;N0000146634;ALLERGENIC EXTRACT, TREE, MAPLE
317595;N0000147366;GLUCEPTATE SODIUM
317598;N0000145941;INSULIN,NPH,BEEF/PORK
317598;N0000179764;isophane insulin, beef-pork [Chemical/Ingredient]
317599;N0000147402;MEDRONATE DISODIUM
317678;N0000135700;Enema [Dose Form]
317680;N0000135686;Cake [Dose Form]
317680;N0000184140;Topical Cake [Dose Form]
317689;N0000135696;Disk [Dose Form]
317690;N0000135713;Granules [Dose Form]
317691;N0000135769;Pellet [Dose Form]
317692;N0000135681;Bar [Dose Form]
317769;N0000163413;THEOPHYLLINE 300MG TAB,SA (INWOOD) [VA Product]
317769;N0000176979;THEOPHYLLINE 300MG TAB,SA (PLIVA) [VA Product]
317769;N0000165656;THEOPHYLLINE 300MG TAB,SA (QUALITEST) [VA Product]
317769;N0000151748;THEOPHYLLINE 300MG TAB,SA [VA Product]
317769;N0000161739;THEOPHYLLINE 300MG TAB,SA,UD (MEDIREX) [VA Product
317769;N0000151762;THEOPHYLLINE,ANHYDROUS 300MG TAB,SA [VA Product]
317769;N0000163643;THEOPHYLLINE,ANHYDROUS 300MG TAB,SA,UD [VA Product
317770;N0000165649;THEOPHYLLINE 100MG TAB,SA (THEO-SAV) [VA Product]
317771;N0000151816;THEOPHYLLINE 250MG CAP,SA (ELIXOPHYLLIN SR) [VA Pr
317800;N0000165528;INSULIN LENTE PUR PORK 100 U/ML INJ NOVO [VA Produ
317800;N0000165487;INSULIN,LENTE,PORK/PURIFIED 100UNT/ML INJ [VA Prod
317805;N0000157786;ALUMINUM ACETATE 10%/ZINC OXIDE 85% PASTE,TOP [VA 
317809;N0000161211;LYME DISEASE VACCINE 30MCG/0.5ML INJ [VA Product]
317825;N0000148760;HORSE CHESTNUT
317831;N0000151771;THEOPHYLLINE 130MG CAP,SA [VA Product]
317831;N0000151766;THEOPHYLLINE,ANHYDROUS 130MG CAP,SA [VA Product]
317836;N0000146089;RAUWOLFIA SERPENTINA
317841;N0000146015;TOCOPHERYL ACETATE,DL-ALPHA
317846;N0000135772;Pudding [Dose Form]
317848;N0000152673;BELLADONNA ALKALOIDS 0.13MG/PHENOBARBITAL 15MG TAB
317849;N0000152669;BELLADONNA ALKALOIDS 0.126MG/PHENOBARBITAL 15MG TA
317853;N0000149523;BELLADONNA ALKALOIDS 0.27MG/ML TINCTURE [VA Produc
317855;N0000153637;BELLADONNA EXTRACT 15MG/PHENOBARBITAL 15MG TAB [VA
317857;N0000022273;PARSLEY
317859;N0000152773;AMYLASE 20000UNT/LIPASE 4000UNT/PROTEASE 25000UNT 
317862;N0000155734;CA CARB 325MG/MG OH 325MG/PHENOBARB 8MG TAB [VA Pr
317865;N0000156096;CALCIUM CARBONATE 400MG TAB,CHEWABLE [VA Product]
317869;N0000151770;THEOPHYLLINE 250MG CAP,SA [VA Product]
317869;N0000151751;THEOPHYLLINE,ANHYDROUS 250MG CAP,SA [VA Product]
317904;N0000155578;ASAFETIDA 60MG/CAPSICUM 8MG/CASCARA 60MG/GINGER/NU
318076;N0000156087;CALCIUM CARBONATE 500MG TAB [VA Product]
318126;N0000153138;DESOXYCORTICOSTERONE ACETATE 125MG PELLET [VA Prod
318130;N0000135768;Patch [Dose Form]
318132;N0000158480;BOIL-EASE [VA Product]
318146;N0000158026;DEXTROSE 1.87GM/LEVULOSE 1.87GM/PHOSPHORIC ACID 21
318178;N0000150554;ERGOLOID MESYLATES 0.5MG TAB,SUBLINGUAL [VA Produc
318179;N0000150553;ERGOLOID MESYLATES 1MG TAB,ORAL [VA Product]
318193;N0000155979;CTM 2MG/GG 100MG/PSEUDEFED 30MG CAP [VA Product]
318202;N0000149753;ERYTHROMYCIN 2% PLEDGET SOLN,TOP [VA Product]
318202;N0000149752;ERYTHROMYCIN 2% SOLN,TOP [VA Product]
318209;N0000154323;PHOSPHORUS 3MMOL/SODIUM 4.4MEQ/ML (PF) INJ [VA Pro
318209;N0000154321;PHOSPHORUS 3MMOL/SODIUM 4MEQ/ML INJ,CONC [VA Produ
318211;N0000151694;POTASSIUM GLUCONATE 6.66MEQ TAB [VA Product]
318212;N0000155516;SODIUM SALICYLATE 650MG TAB,EC [VA Product]
318213;N0000155515;SODIUM SALICYLATE 325MG TAB,EC [VA Product]
318217;N0000149435;TRISULFAPYRIMIDINES 500MG TAB [VA Product]
318218;N0000149436;TRISULFAPYRIMIDINES 500MG/5ML SUSP [VA Product]
318224;N0000148243;FLAXSEED
318240;N0000149393;TESTOSTERONE 75MG PELLET [VA Product]
318241;N0000150181;TETANUS TOXOID PUROGENATED INJ [VA Product]
318248;N0000150896;THIOTEPA (THIOPLEX) 15MG/VIL INJ [VA Product]
318270;N0000152138;PHENYLEPHRINE HCL 0.1%/PYRILAMINE MALEATE 0.12% SO
318270;N0000152137;PHENYLEPHRINE HCL 0.12%/PYRILAMINE MALEATE 0.1% SO
318272;N0000153782;ASPIRIN 81MG TAB,CHEWABLE [VA Product]
318340;N0000148067;ALOE VERA
318340;N0000148068;ALOE VERA EXTRACT
318341;N0000148833;CETUXIMAB
318341;N0000010539;cetuximab [Chemical/Ingredient]
319779;N0000147322;ASAFETIDA
319779;N0000148762;ASAFOETIDA
319780;N0000147279;CAPSICUM
319815;N0000148288;BRYONIA
319816;N0000148800;NETTLE
319818;N0000022270;ASTRAGALUS
319818;N0000148756;ASTRAGALUS EXTRACT
319823;N0000176178;THYME
319834;N0000171735;ELDERBERRY
319834;N0000172062;ELDERBERRY EXTRACT
319837;N0000148797;GOTU KOLA
319839;N0000148842;MACA
319864;N0000022024;CISATRACURIUM
319864;N0000011420;cisatracurium [Chemical/Ingredient]
321064;N0000023029;OLMESARTAN
321064;N0000171610;olmesartan [Chemical/Ingredient]
321208;N0000148733;FONDAPARINUX
321208;N0000010118;fondaparinux [Chemical/Ingredient]
321650;N0000020763;IODINE/POTASSIUM IODIDE
321952;N0000148728;PIMECROLIMUS
321952;N0000010168;pimecrolimus [Chemical/Ingredient]
321988;N0000022289;ESCITALOPRAM
322167;N0000022393;SOLIFENACIN
322248;N0000148717;TENOFOVIR DISOPROXIL FUMARATE
324030;N0000183570;PAPAYA
324042;N0000020141;HYDROCHLOROTHIAZIDE/SPIRONOLACTONE
324044;N0000021760;DESOGESTREL/ETHINYL ESTRADIOL
324049;N0000010025;Aerosol [Dose Form]
324072;N0000147512;DIMETHICONE
324072;N0000175351;dimethicone [Chemical/Ingredient]
325521;N0000145809;THYROID,BOVINE
325526;N0000022260;GINSENG
325526;N0000148740;GINSENG EXTRACT
325642;N0000148720;ERTAPENEM
325642;N0000010112;ertapenem [Chemical/Ingredient]
325646;N0000176084;ALISKIREN
325646;N0000179765;aliskiren [Chemical/Ingredient]
325887;N0000022404;MICAFUNGIN
325887;N0000171605;micafungin [Chemical/Ingredient]
326374;N0000148732;NORELGESTROMIN
326374;N0000179766;norelgestromin [Chemical/Ingredient]
327361;N0000148789;ADALIMUMAB
327361;N0000010034;adalimumab [Chemical/Ingredient]
327584;N0000146827;BACAMPICILLIN HYDROCHLORIDE
328134;N0000148810;GEFITINIB
328134;N0000010124;gefitinib [Chemical/Ingredient]
328140;N0000022151;TRICHOPHYTON
328140;N0000022062;TRICOPHYTON
328141;N0000148755;DONG QUAI
328141;N0000010105;dong quai [Chemical/Ingredient]
328160;N0000162969;CYCLOSPORINE (EON) 100MG CAP [VA Product]
328160;N0000162971;CYCLOSPORINE (SIDMAK) 100MG CAP [VA Product]
328160;N0000154478;CYCLOSPORINE 100MG CAP [VA Product]
328160;N0000165379;CYCLOSPORINE NON-MODIFIED 100MG CAP [VA Product]
328161;N0000151549;METHYLPREDNISOLONE 16MG TAB [VA Product]
328164;N0000157501;BISMUTH SUBSALICYLATE 300MG TAB [VA Product]
333823;N0000150818;INDOMETHACIN 100MG CAP [VA Product]
333848;N0000022063;PORFIMER SODIUM
337068;N0000178414;METHYL AMINOLEVULINATE
337523;N0000176119;IXABEPILONE
337523;N0000179767;ixabepilone [Chemical/Ingredient]
337525;N0000148872;ERLOTINIB
337525;N0000010566;erlotinib [Chemical/Ingredient]
337623;N0000148342;DORNASE ALFA,rDNA
337840;N0000135810;Vaginal Suppository [Dose Form]
338036;N0000148730;PEGFILGRASTIM
338036;N0000010156;pegfilgrastim [Chemical/Ingredient]
338529;N0000148819;TRIPTORELIN PAMOATE
338529;N0000179768;Triptorelin Pamoate [Chemical/Ingredient]
338817;N0000148806;AGALSIDASE BETA
338817;N0000010037;agalsidase beta [Chemical/Ingredient]
339270;N0000148771;TEGASEROD MALEATE
340275;N0000155510;DEXTRAN-75,6% INJ [VA Product]
340275;N0000153957;DEXTRAN-75,6%/DEXTROSE 5% INJ [VA Product]
340275;N0000153956;DEXTRAN-75,6%/NACL 0.9% INJ [VA Product]
340276;N0000152391;TETRACAINE HCL 0.5% OINT,OPH [VA Product]
340280;N0000151622;HYDROCORTISONE 1.5%/NEOMYCIN SO4 5MG/ML SOLN,OPH [
341018;N0000171752;ANIDULAFUNGIN
341018;N0000175344;anidulafungin [Chemical/Ingredient]
341248;N0000148785;EZETIMIBE
341248;N0000010117;ezetimibe [Chemical/Ingredient]
342369;N0000171749;LENALIDOMIDE
342369;N0000175347;lenalidomide [Chemical/Ingredient]
342904;N0000151113;CEFOXITIN NA 40MG/ML INJ [VA Product]
342904;N0000156282;CEFOXITIN NA 40MG/ML/DEXTROSE 2.2% INJ,BAG,50ML [V
342904;N0000156280;CEFOXITIN NA 40MG/ML/DEXTROSE 5% INJ [VA Product]
342940;N0000023081;PAU D'ARCO
342957;N0000151200;CEFTIZOXIME NA 500MG/VIL INJ [VA Product]
342958;N0000151202;CEFTIZOXIME NA 1GM/ADD-VANTAGE VIL INJ [VA Product
342958;N0000151205;CEFTIZOXIME NA 20MG/ML/DEXTROSE 5% INJ [VA Product
342958;N0000151207;CEFTIZOXIME NA 20MG/ML/DEXTROSE 5% INJ,BAG,50ML [V
342958;N0000151204;CEFTIZOXIME NA 2GM/ADD-VANTAGE VIL INJ [VA Product
342959;N0000151203;CEFTIZOXIME NA 2GM/PB VIL INJ [VA Product]
342959;N0000151206;CEFTIZOXIME NA 40MG/ML/DEXTROSE 5% INJ [VA Product
342959;N0000151208;CEFTIZOXIME NA 40MG/ML/DEXTROSE 5% INJ,BAG,50ML [V
342965;N0000147194;CELLULOSE SODIUM PHOSPHATE
342992;N0000147156;PIPERAZINE CITRATE
342992;N0000179769;piperazine citrate [Chemical/Ingredient]
343002;N0000153039;ESTRONE 2MG/ML INJ,SUSP [VA Product]
343006;N0000153440;GUAIFENESIN 500MG/PSEUDOEPHEDRINE 120MG TAB,SA [VA
343009;N0000162062;GUAIFENESIN 800MG TAB,SA [VA Product]
343019;N0000151156;PREDNISOLONE ACETATE 1% SUSP,OPH [VA Product]
343020;N0000163556;THEOPHYLLINE 250MG TAB (THEOLAIR) [VA Product]
343033;N0000150941;DEXAMETHASONE 0.75MG TAB [VA Product]
343047;N0000022320;ATAZANAVIR
343047;N0000010341;atazanavir [Chemical/Ingredient]
343048;N0000148769;TREPROSTINIL
343048;N0000010184;treprostinil [Chemical/Ingredient]
343049;N0000152919;CEFOTETAN DISODIUM 1GM/VIL INJ [VA Product]
343049;N0000152922;CEFOTETAN DISODIUM 1GM/VIL INJ,ADD-VANTAGE [VA Pro
343051;N0000151179;GOLD NA THIOMALATE 50MG/ML INJ [VA Product]
345131;N0000151167;PREDNISOLONE NA PHOSPHATE 0.125% SOLN,OPH [VA Prod
346161;N0000135716;Inhalant Solution [Dose Form]
346162;N0000135784;Spray [Dose Form]
346163;N0000135734;Mucosal Spray [Dose Form]
346164;N0000135759;Oral Spray [Dose Form]
346165;N0000135800;Topical Spray [Dose Form]
346166;N0000135719;Intramuscular Solution [Dose Form]
346167;N0000135720;Intramuscular Suspension [Dose Form]
346168;N0000135724;Intravenous Suspension [Dose Form]
346169;N0000135754;Oral Gel [Dose Form]
346170;N0000135775;Rectal Gel [Dose Form]
346171;N0000135756;Oral Paste [Dose Form]
346284;N0000135753;Oral Foam [Dose Form]
346285;N0000135793;Topical Foam [Dose Form]
346286;N0000135794;Topical Gel [Dose Form]
346287;N0000135802;Urethral Gel [Dose Form]
346288;N0000135755;Oral Ointment [Dose Form]
346289;N0000135757;Oral Powder [Dose Form]
346290;N0000135742;Nasal Suspension [Dose Form]
346508;N0000150816;INDOMETHACIN NA 1MG/VIL INJ [VA Product]
346535;N0000151555;METHYLPREDNISOLONE ACETATE 40MG/ML INJ,SUSP [VA Pr
346573;N0000163357;AMYLASE 20000UNT/LIPASE 4500UNT/PROTEASE 25000UNT 
346574;N0000163412;THEOPHYLLINE 200MG TAB,SA (INWOOD) [VA Product]
346574;N0000176981;THEOPHYLLINE 200MG TAB,SA (PLIVA) [VA Product]
346574;N0000165655;THEOPHYLLINE 200MG TAB,SA (QUALITEST) [VA Product]
346574;N0000165626;THEOPHYLLINE 200MG TAB,SA [VA Product]
346574;N0000151776;THEOPHYLLINE,ANHYDROUS 200MG TAB,SA [VA Product]
