unii	pt	rxcui	db_uri1	db_uri2	chebi	nui	nameAndRole
CA9JGZ11RM	LONG-SPINED RED BREAM, COOKED						
CAC276J365	LONGFIN CODLING						
CAC78E2Q9S	MELEAGRIS GALLOPAVO FEATHER	1594963.0				N0000185017	Non-Standardized Feather Allergenic Extract [EPC]
CAC78E2Q9S	MELEAGRIS GALLOPAVO FEATHER	1594963.0				N0000175629	Increased Histamine Release [PE]
CAC78E2Q9S	MELEAGRIS GALLOPAVO FEATHER	1594963.0				N0000184306	Cell-mediated Immunity [PE]
CAC78E2Q9S	MELEAGRIS GALLOPAVO FEATHER	1594963.0				N0000185001	Increased IgG Production [PE]
CAC78E2Q9S	MELEAGRIS GALLOPAVO FEATHER	1594963.0				N0000185011	Feathers [Chemical/Ingredient]
CAC78E2Q9S	MELEAGRIS GALLOPAVO FEATHER	1594963.0				N0000171131	Allergens [Chemical/Ingredient]
CAI387M90H	STINGING CATFISH WHOLE						
CAK4Q3FQ5D	CGA-137053						
CAL22UVI4M	POLYSORBATE 60	1368867.0			http://purl.obolibrary.org/obo/CHEBI_53425		
CAL3MRM51F	3,5-DIIODOTHYRONINE, L-						
CAM260B685	ERGOMETRININE HYDROBROMIDE MONOHYDRATE						
CAM6HD7JKI	3,3-DIMETHYLBUTYRALDEHYDE						
CAR334HOLD	HOLMIUM CHLORIDE						
CAU97QO6T9	16.BETA.,17-EPOXY-3.BETA.-HYDROXY-17.ALPHA.-PREGN-5-EN-20-ONE						
CAV0B510XV	4,4'-DICHLOROAZOXYBENZENE, (Z)-						
CAX256379F	LIGUSTICUM SINENSE SUBSP. CHUANXIONG WHOLE	1650611.0					
CAZ59QT0HZ	BUSH MANGO						
CAZ6282J2O	ATRACTYLODES LANCEA ROOT	1307719.0					
CB2TL9PS0T	PROPOXYPHENE HYDROCHLORIDE	71517.0					
CB3ISL56KG	1,3-PROPANEDIAMINE						
CB4V7Q47ZT	SEA SNAIL, UNSPECIFIED	1546397.0					
CB7433DY2H	BERTOSAMIL						
CB83WF95OB	ETHYLDIPHENYLPHOSPHINE OXIDE						
CB9080731F	MIDSIZE SQUID WHOLE						
CB9NT7V0ZD	6-DODECENYL ACETATE, (6Z)-						
CB9ZJ140SB	2-PHENYLBENZIMIDAZOLE						
CBE601JX1P	P-BROMOMANDELIC ACID, (+)-						
CBH764R26K	R-125687						
CBI6614BOL	PIPRADIMADOL						
CBJ6A3D19C	DOISYNOLIC ACID						
CBK7Y28SP3	STYRAMATE						
CBN9RYZ03A	SOUTHERN BLUEBERRY						
CBP40GY330	LEPISTA NUDA FRUITING BODY						
CBP4998C8Q	BEHENAMIDOPROPYL PROPYLENE GLYCOL-DIMONIUM CHLORIDE						
CBQ352P55M	GLYCERETH-30 MYRISTATE						
CBT4991PRJ	3-DECANONE						
CBU2X6BBJR	TETRABUTYLAMMONIUM		http://www.drugbank.ca/drugs/DB01851	http://bio2rdf.org/drugbank:DB01851			
CBX394737H	2,3-PYRIDINEDIAMINE						
CBY5520366	17-ETHYNYLANDROST-2-ENE-17-OL-17-ACETATE						
CBZ4BH7TJ1	NEISSERIA MENINGITIDIS GROUP Y CAPSULAR POLYSACCHARIDE ANTIGEN	314725.0				N0000183895	Inactivated Meningococcal Vaccine [EPC]
CBZ4BH7TJ1	NEISSERIA MENINGITIDIS GROUP Y CAPSULAR POLYSACCHARIDE ANTIGEN	314725.0				N0000183364	Actively Acquired Immunity [PE]
CBZ4BH7TJ1	NEISSERIA MENINGITIDIS GROUP Y CAPSULAR POLYSACCHARIDE ANTIGEN	314725.0				N0000170889	Meningococcal Vaccines [Chemical/Ingredient]
CBZ4BH7TJ1	NEISSERIA MENINGITIDIS GROUP Y CAPSULAR POLYSACCHARIDE ANTIGEN	314725.0				N0000170916	Vaccines, Inactivated [Chemical/Ingredient]
CC0S5HO41V	2-NITROSO-1-NAPHTHOL						
CC26D50YMY	HEXADECYLNAPHTHALENE						
CC2XQD7N4O	PAGELLUS SEA BREAM WHOLE						
CC4B5WU2XX	SCLERANTHUS ANNUUS FLOWERING TOP	1310110.0					
CC6X0L40GW	MOXONIDINE						
CC8XZ138VZ	ACETYL PROLINE		http://www.drugbank.ca/drugs/DB03360	http://bio2rdf.org/drugbank:DB03360			
CC9149U2QX	SODIUM FERRIC GLUCONATE COMPLEX	261435.0				N0000006237	Iron [Chemical/Ingredient]
CC9149U2QX	SODIUM FERRIC GLUCONATE COMPLEX	261435.0				N0000177913	Parenteral Iron Replacement [EPC]
CC995ZMV90	AMBROXOL HYDROCHLORIDE		http://www.drugbank.ca/drugs/DB06742	http://bio2rdf.org/drugbank:DB06742			
CCC67199EA	AMERICAN CONGER						
CCJ8A99MHA	ALPHA-MULTISTRIATIN, (-)-						
CCJ8I8TG3H	AMINACRINE PYRUVATE						
CCP2U6LWTP	MK-0893						
CCQ9Q0302I	ARTEMISIA HERBA-ALBA WHOLE						
CCR50N1Z9G	1,2,3,4-TETRAHYDROQUINOLINE						
CCV19781NW	PHENTETRAMINE						
CCW02D961F	PENTADECANOIC ACID						
CCX72L6NY6	PEG-8/SMDI COPOLYMER	1366992.0					
CD09F5JM6T	ZIDOVUDINE GLUCURONIDE						
CD1IB488KN	2,5-DIMETHYL-3-FUROIC ACID						
CD28023UJH	PYROGALLOL MONOACETATE						
CD35PMG570	OXYCODONE	7804.0	http://www.drugbank.ca/drugs/DB00497	http://bio2rdf.org/drugbank:DB00497	http://purl.obolibrary.org/obo/CHEBI_7852	N0000175684	Full Opioid Agonists [MoA]
CD35PMG570	OXYCODONE	7804.0	http://www.drugbank.ca/drugs/DB00497	http://bio2rdf.org/drugbank:DB00497	http://purl.obolibrary.org/obo/CHEBI_7852	N0000175690	Opioid Agonist [EPC]
CD3GD44O3K	FRAXETIN						
CD7L9290QR	AMG-0347						
CDA70611LZ	ETHYL .ALPHA.-BROMOPROPIONATE						
CDB5OQ9BRU	BRAMA DUSSUMIERI WHOLE						
CDC6109PTZ	TURKEY LEG						
CDC678Z892	.ALPHA.(((1,1-DIMETHYLETHYL)AMINO)METHYL)-4,5-DIHYDROXY-1,3-BENZENEDIMETHANOL						
CDD3388O1D	TRIALLYL CYANURATE						
CDD69JC61J	FILAMINAST		http://www.drugbank.ca/drugs/DB02660	http://bio2rdf.org/drugbank:DB02660			
CDH3461U7L	TOXICODENDRON RADICANS LEAF	1309758.0					
CDJ4S18PLN	GENIPA AMERICANA FRUIT	1492037.0					
CDL03A411T	MMI-166						
CDN7GFO0NP	PORCINE DUODENUM GLYCOPEPTIDE (MW 81000)						
CDR84E29CT	ENTEROLOBIUM CYCLOCARPUM BARK						
CDU62UJG8S	N,N'-DIMETHYL-N-HYDROXYETHYL-3-NITRO-P-PHENYLENEDIAMINE						
CDU9203S2R	2,3-BUTANEDIAMINE, MESO-						
CDW853B60I	METHYLNALTREXONE BROMIDE, (17S)-						
CE161F8RV7	METHYL 3-(((2-((DIAMINOMETHYLIDENE)AMINO)THIAZOL-4-YL)METHYL)SULFANYL)PROPANOATE						
CE2MEZ74RT	ZINC ZN-72						
CE3G3J56LR	ABIES ALBA LEAFY TWIG	1545037.0					
CE66S51808	4-METHYLAMINO-3,5-XYLYL METHYLCARBAMATE						
CEA2486B4Z	COPPER DIHYDRAZINE SULFATE						
CEA39RY6Y5	2,4-HEXADIENYL PROPIONATE, (2E,4E)-						
CEB05S0B9I	SARDOMOZIDE						
CEB5005PDD	TAXINE B						
CEE19E5D5F	EFAVIRENZ, (R)-						
CEG1Q6OGU1	BARDOXOLONE METHYL						
CEH13944YQ	DIETHYL DIETHYLMALONATE						
CEM55A0275	BORAZINE						
CEO54NH393	AM-966						
CEO6A4680C	FRILLED VENUS, COOKED						
CEO952WH5C	GLUCAGON-LIKE-PEPTIDE-1 (7-37) ACETATE						
CEP8I6411H	.ALPHA.-D-GALACTURONIC ACID		http://www.drugbank.ca/drugs/DB03511	http://bio2rdf.org/drugbank:DB03511			
CER091N89V	GIANT BOARFISH, COOKED						
CET32HKA21	CHROMOUS CHLORIDE						
CEV23H8UV4	O-CHLOROBENZYL BROMIDE						
CEZ11T634X	1,3,6,8-PYRENETETRASULFONIC ACID						
CF0226F62O	MUSKMELON SEED						
CF069F5D9C	CHLOROACETALDEHYDE						
CF12586ULS	PROXAN POTASSIUM						
CF1MP5BY1I	JAVAN ILISHA WHOLE						
CF2559610J	1,2,3,4,7-PENTACHLORODIBENZOFURAN						
CF48QOH154	DIOXIFEDRINE						
CF5RIO6PQE	2-HEXENYL HEXANOATE, (2E)-						
CF5W1YCX11	BIS-PEG-10 DIMETHICONE/DIMER DILINOLEATE COPOLYMER	1544483.0					
CF607I8E19	PEG-150 DILAURATE						
CF64SCV84C	5-HYDROXYBENZO(A)PYRENE						
CF67CG9STQ	ISAZOFOS						
CF7481PHL2	PYROLA ASARIFOLIA SUBSP. ASARIFOLIA LEAF						
CF7S8OE055	CHICKEN LIVER, COOKED						
CF8K623XD4	MYRRHIS ODORATA LEAF						
CF9MRO9QWW	CL-316243						
CFA914331M	PYRITINOL HYDROCHLORIDE ANHYDROUS						
CFC805A5WR	SODIUM FLUOBORATE						
CFD408L3CG	ERGOSTINE MALEATE						
CFD7DB0MUF	CINCHONAMINE						
CFE1S8DYWD	POTATO	892632.0				N0000185371	Non-Standardized Food Allergenic Extract [EPC]
CFE1S8DYWD	POTATO	892632.0				N0000175629	Increased Histamine Release [PE]
CFE1S8DYWD	POTATO	892632.0				N0000184306	Cell-mediated Immunity [PE]
CFE1S8DYWD	POTATO	892632.0				N0000171131	Allergens [Chemical/Ingredient]
CFE1S8DYWD	POTATO	892632.0				N0000007512	Dietary Proteins [Chemical/Ingredient]
CFE1S8DYWD	POTATO	892632.0				N0000007617	Vegetable Proteins [Chemical/Ingredient]
CFI2274YL7	SCYLLARIDES SLIPPER LOBSTER, COOKED						
CFN0FBC3YH	BROMTHYMOL BLUE SODIUM						
CFN24B03DB	LEAD TETRAACETATE						
CFN2D8XEIU	SODIUM CAMPHORSULFONATE						
CFN6G1F6YK	TILIA CORDATA FLOWER	1307716.0					
CFS802C28F	SARSAGENIN						
CFU4A74TQT	3-(METHYLTHIO)-1-HEXANOL						
CFV052UBPN	1,2,3,4,6,8-HEXACHLORODIBENZO-P-DIOXIN						
CFY01MZD5T	CETEFLOXACIN						
CFY347HVKZ	O-ETHYL ETHYLTHIOPHOSPHONYL CHLORIDE						
CG0A37GAHJ	3-HYDROXY-2,2-DIMETHYLPROPYL HYDROXYPIVALATE						
CG0CLR485X	SODIUM FERROCYANIDE DECAHYDRATE						
CG297D9264	NICOSULFURON						
CG4EO6A0O2	DIOCTYL DECANEDIOATE						
CG4J106OX7	LARGE DOG COCKLE, COOKED						
CG5DUB39RI	PROPYLENE GLYCOL LINOLEATE						
CG5UKT6YAI	PASSIFLORA QUADRANGULARIS FLOWER						
CG6F79CJXL	4-(4-CHLOROPHENYL)-1-(4-(4-(4-CHLOROPHENYL)-4-HYDROXYPIPERIDIN-1-YL)-2,2-DIPHENYLBUTANOYL)PIPERIDIN-4-OL						
CG6IX3GCMU	ALPINE STRAWBERRY	1328308.0					
CG73ERQ805	METFORMIN ICOSAPENT						
CG7P67W7W0	PH-BOX, (R,R)-						
CG8692ZN14	PHENYLMERCURIC NITRATE	89722.0					
CGA3981962	ARAUCARIA ANGUSTIFOLIA WHOLE						
CGB4Y8NYSQ	YELLOW-WAX POMPANO, COOKED						
CGD15M7H2N	DICYCLOHEXYL PHTHALATE						
CGF54GI6TD	HEDYSARUM POLYBOTRYS WHOLE						
CGF76TP7X6	TANACETUM CINERARIIFOLIUM FLOWER	967970.0				N0000185375	Non-Standardized Plant Allergenic Extract [EPC]
CGF76TP7X6	TANACETUM CINERARIIFOLIUM FLOWER	967970.0				N0000175629	Increased Histamine Release [PE]
CGF76TP7X6	TANACETUM CINERARIIFOLIUM FLOWER	967970.0				N0000184306	Cell-mediated Immunity [PE]
CGF76TP7X6	TANACETUM CINERARIIFOLIUM FLOWER	967970.0				N0000185001	Increased IgG Production [PE]
CGF76TP7X6	TANACETUM CINERARIIFOLIUM FLOWER	967970.0				N0000171131	Allergens [Chemical/Ingredient]
CGF76TP7X6	TANACETUM CINERARIIFOLIUM FLOWER	967970.0				N0000008246	Plant Proteins [Chemical/Ingredient]
CGK541R25K	BOLDOSIDE						
CGM7084L4M	BISMUTH BETANAPHTHOL						
CGM7IH8530	CELLABURATE (MW 30000, 37% BUTYRYL, 13% ACETYL)						
CGO90PC910	DENDROBIUM NOBILE STEM	1420962.0					
CGP39QV5WF	2,3-DICHLOROBENZOIC ACID						
CGS5KI3Q2M	STREPTOCOCCUS PNEUMONIAE TYPE 4 CAPSULAR POLYSACCHARIDE ANTIGEN	854962.0				N0000183897	Inactivated Pneumococcal Vaccine [EPC]
CGS5KI3Q2M	STREPTOCOCCUS PNEUMONIAE TYPE 4 CAPSULAR POLYSACCHARIDE ANTIGEN	854962.0				N0000183364	Actively Acquired Immunity [PE]
CGS5KI3Q2M	STREPTOCOCCUS PNEUMONIAE TYPE 4 CAPSULAR POLYSACCHARIDE ANTIGEN	854962.0				N0000011295	Pneumococcal Vaccines [Chemical/Ingredient]
CGS5KI3Q2M	STREPTOCOCCUS PNEUMONIAE TYPE 4 CAPSULAR POLYSACCHARIDE ANTIGEN	854962.0				N0000170916	Vaccines, Inactivated [Chemical/Ingredient]
CGS982PBTW	1-BROMO-2-METHYLBUTANE, (+)-						
CGX598508O	METHYL BUTYRATE						
CGZ5VAG22L	BLACK SNOOK						
CH15E393A2	2-PHENYLPROPIONIC ACID				http://purl.obolibrary.org/obo/CHEBI_48526		
CH1Q84K0WC	RHODODENDRON YEDOENSE FLOWER						
CH1Y88E2AY	AMINOQUINOL						
CH26OGR79C	COLCHICEINE ETHYL ETHER						
CH3D4LS291	ROCK HIND WHOLE						
CH3YJ6606V	SUS SCROFA RENAL PELVIS	1311269.0					
CH428W5O62	HYDROLYZED JOJOBA ESTERS (POTASSIUM SALTS)						
CH46OC8YV4	GALLIUM	1310124.0			http://purl.obolibrary.org/obo/CHEBI_49631		
CH4JHS76WY	2-METHYL-3-HEPTANONE						
CH4X1G69D3	VINDOLINE HYDROCHLORIDE						
CH7RBH9M8M	6-CHLOROTRYPTOPHAN, D-						
CH8C36F1MO	STEARYLSULFAMIDE						
CH9NOD25WT	1,2,4,7,9-PENTACHLORODIBENZO-P-DIOXIN						
CHB1QD2QSS	TEMAZEPAM	10355.0				N0000175694	Benzodiazepine [EPC]
CHB1QD2QSS	TEMAZEPAM	10355.0				N0000007542	Benzodiazepines [Chemical/Ingredient]
CHC1JS541R	GYNOSTEMMA PENTAPHYLLUM WHOLE						
CHD146V2O2	2-PHENYL-3-(2-FURYL)PROP-2-ENAL						
CHE211JZXQ	PACRINOLOL						
CHG7QC509W	CICLETANINE						
CHH810ZM8C	.EPSILON.-TOCOPHEROL						
CHH9H12AQ3	TOLAZOLINE	10634.0	http://www.drugbank.ca/drugs/DB00797	http://bio2rdf.org/drugbank:DB00797			
CHI530446X	VANILLIN	1368176.0					
CHJ1X6AG9F	SIRATIAZEM						
CHJ98J84AY	PHOSFOLAN						
CHL1AXQ9DY	TECLOFTALAM						
CHL342Y4LA	ACACIA CATECHU WOOD						
CHS6P95EJR	.IOTA.-CARRAGEENAN SODIUM						
CHY7T9AM0W	PHENYLMERCURIC BENZOATE						
CHZ6OLQ3UU	PEXELIZUMAB						
CI002S7WH8	CENERSEN SODIUM						
CI0FAO63WC	CEFDINIR	25037.0	http://www.drugbank.ca/drugs/DB00535	http://bio2rdf.org/drugbank:DB00535	http://purl.obolibrary.org/obo/CHEBI_3485	N0000175488	Cephalosporin Antibacterial [EPC]
CI0FAO63WC	CEFDINIR	25037.0	http://www.drugbank.ca/drugs/DB00535	http://bio2rdf.org/drugbank:DB00535	http://purl.obolibrary.org/obo/CHEBI_3485	N0000011161	Cephalosporins [Chemical/Ingredient]
CI0NE7C96T	MOLIDUSTAT SODIUM						
CI11W0EN4X	4',7-DI-O-(.BETA.-HYDROXYETHYL)RUTOSIDE						
CI1S3XAK7O	ETODROXIZINE						
CI1YT265BA	TANACETUM VULGARE WHOLE						
CI21IF17JL	HUMAN ROTAVIRUS A						
CI247512AP	MEPREGNOL						
CI48UWH77R	HYDRACRYLIC ACID SODIUM						
CI4E002ZV8	HEXYLAMINE						
CI6086902P	3,3',4,4',5-PENTACHLORODIPHENYL ETHER						
CI61EO8C6T	JENKINS FLYINGFISH						
CI71S98N1Z	POTASSIUM PHOSPHATE, DIBASIC	55018.0					
CI87N1IM01	C15-19 ALKANE						
CI8CT0864P	IPEXIDINE MESYLATE						
CI933M177A	NEOPENTYL GLYCOL CAPRYLATE/CAPRATE						
CI9X00489L	2',3'-DIDEHYDRO-2',3'-DIDEOXYCYTIDINE						
CID8Z8N95N	CARMINIC ACID	1368643.0					
CIF6334OLY	TOLCAPONE	72937.0	http://www.drugbank.ca/drugs/DB00323	http://bio2rdf.org/drugbank:DB00323	http://purl.obolibrary.org/obo/CHEBI_63630	N0000175756	Catechol O-Methyltransferase Inhibitors [MoA]
CIF6334OLY	TOLCAPONE	72937.0	http://www.drugbank.ca/drugs/DB00323	http://bio2rdf.org/drugbank:DB00323	http://purl.obolibrary.org/obo/CHEBI_63630	N0000175757	Catechol-O-Methyltransferase Inhibitor [EPC]
CII78W0E01	3'-METHYL-3-HYDROXYCHALCONE						
CIJ0MD19SE	SERINAMIDE						
CIJ7YN252E	HYDROXYECTOIN						
CIK9F54ZHR	DOCUSATE POTASSIUM						
CIM4NO9ISE	STROPHARIA SEMIGLOBATA FRUITING BODY						
CIO2TZZ9H1	BMS-585248						
CIP6LXN5XW	THIOSALICYLIC ACID						
CIP7BRA48E	2,2',3,4',5,5',6-HEPTACHLOROBIPHENYL						
CIQ9QG91PY	EMILIUM TOSYLATE						
CIW5S16655	CLOFENOTANE				http://purl.obolibrary.org/obo/CHEBI_16130		
CIX3U01VAU	.ALPHA.-GLUCOSE-1-PHOSPHATE		http://www.drugbank.ca/drugs/DB02843	http://bio2rdf.org/drugbank:DB02843			
CIX5G6J9R1	IODOXAMATE MEGLUMINE						
CJ09E64G3B	TUMOR NECROSIS FACTOR-.ALPHA. HUMAN 5-157(PLASMA DERIVED, SOLUBLE FORM)						
CJ0O37KU29	VERAPAMIL	11170.0			http://purl.obolibrary.org/obo/CHEBI_9948	N0000000069	Calcium Channel Antagonists [MoA]
CJ0O37KU29	VERAPAMIL	11170.0			http://purl.obolibrary.org/obo/CHEBI_9948	N0000175566	Calcium Channel Blocker [EPC]
CJ1467C885	STREPTOMYCIN B						
CJ1KAZ111S	2-OCTENYLSUCCINIC ANHYDRIDE, (2E)-						
CJ3B4C4R5P	TINOSPORA SINENSIS WHOLE						
CJ4C6X1PNR	SAUCER SCALLOP WHOLE						
CJ5H7I5MA7	BLACKBELLY ROSEFISH						
CJ7M2QK6X3	TETRAHYDRO-2-FUROIC ACID						
CJ92FB837E	GLYCERETH-5 CAPRYLATE						
CJ981S4H3T	DIPROPYLENE GLYCOL CAPRYLATE						
CJ9SRD29W7	3(2H)-ISOTHIAZOLONE, 4,5-DICHLORO-2-CYCLOHEXYL-						
CJA97047JF	ACTINIDIA POLYGAMA FRUIT	1307674.0					
CJE17P98D0	DISODIUM 6,6'-OXYBIS(2-NAPHTHALENESULFONATE)						
CJE8VS4G3R	3-METHYLCYCLOHEXANONE, (-)-						
CJI7AS4SO6	GIANT PANGASIUS, COOKED						
CJJ71O9BE8	N-DESMETHYLSERTRALINE						
CJM2WJ6V43	SMOOTHTAIL SPINY LOBSTER						
CJP3UNX7Z7	2,4,6-TRIAMINO-1,3,5-TRINITROBENZENE						
CJP9NL7JSJ	CASEIN, LACTOCOCCUS LACTIS CULTURED, AGED	1315111.0					
CJQ633A12A	LINALOOL OXIDE PYRANOID, (+/-)-						
CJV9E9IIOA	PHYSOSTIGMA VENENOSUM SEED	1310076.0					
CJY03984CT	LY-320135						
CK0N3WH0SR	PERFLUTREN	283753.0	http://www.drugbank.ca/drugs/DB00556	http://bio2rdf.org/drugbank:DB00556	http://purl.obolibrary.org/obo/CHEBI_31980	N0000175864	Contrast Agent for Ultrasound Imaging [EPC]
CK0N3WH0SR	PERFLUTREN	283753.0	http://www.drugbank.ca/drugs/DB00556	http://bio2rdf.org/drugbank:DB00556	http://purl.obolibrary.org/obo/CHEBI_31980	N0000010259	Ultrasound Contrast Activity [MoA]
CK0R0S2J33	OXYQUINOLINE BENZOATE						
CK1441RCZ8	GANITUMAB						
CK15HA8438	STAR ANISE FRUIT	1311682.0					
CK4M8AX1LN	SAFIRONIL						
CK6M44Q65X	LINDERA COMMUNIS SEED OIL						
CK7N38KKFK	LAURETH-11 CARBOXYLIC ACID						
CK833KGX7E	AMPHETAMINE	725.0				N0000175739	Central Nervous System Stimulant [EPC]
CK833KGX7E	AMPHETAMINE	725.0				N0000175729	Central Nervous System Stimulation [PE]
CK8I60B77H	HEXADECYL METHACRYLATE						
CKA421A1J7	SILVER CITRATE	1306066.0					
CKB16BAQ3S	TENITRAMINE						
CKF5428QK4	ANISURON						
CKG85YIE4N	SPOTTED HAKE WHOLE						
CKH162OZMV	ISOPATULIN						
CKI63X571X	APIOS AMERICANA ROOT						
CKJ5537111	C20-40 ACID	1425982.0					
CKM4S0R7LX	ETHYNERONE						
CKM6SS616L	NEW ZEALAND LEMON SOLE						
CKN84UW7SK	ETHYL 2-ACETYLHEXANOATE						
CKO238247A	1,4-BIS(3-METHYLBENZYL) PIPERAZINE DIHYDROCHLORIDE						
CKR7XL41N4	2-NAPHTHYLAMINE						
CKS1YQ9W1J	GOLD SODIUM THIOSULFATE	9876.0			http://purl.obolibrary.org/obo/CHEBI_53622		
CKS724B66O	BEPAFANT						
CKU8PTZ7M8	1,2,3-BENZENETRICARBOXYLIC ACID						
CKY3J88Z94	4,4'-DIHYDROXYCHALCONE, (E)-						
CKZ8SB07ER	NEOQUASSIN, .ALPHA.-						
CL047JBJ5Q	N,N-DIPHENYLGUANIDINE						
CL06316S38	METHYL 3-HYDROXYBUTYRATE, (-)-						
CL2002R563	POZANICLINE		http://www.drugbank.ca/drugs/DB05458	http://bio2rdf.org/drugbank:DB05458			
CL2T97X0V0	CARBON TETRACHLORIDE				http://purl.obolibrary.org/obo/CHEBI_27385		
CL2WTA9T88	INDIAN THREADFIN, COOKED						
CL32869MEP	TRIPTYCENE						
CL439Y041G	DAVANA OIL	1489000.0					
CL5Y02756K	1-(2,6-DICHLOROPHENYL)INDOLIN-2-ONE						
CL7747MO84	PERUVIAN CALICO SCALLOP WHOLE						
CL7T957EGC	BENDAZAC LYSINE						
CL86507V1J	TERT-BUTYLCYANOKETENE						
CL87X0NVJA	DIVINYL SULFIDE						
CL8Z6VO2LG	NONIOSIDE A						
CL96F8Q62X	CHICLE						
CL9PAR44W0	PEDICULARIS RACEMOSA WHOLE						
CL9S2UKN56	PALMITOYLLYSYLVALYLDIAMINOBUTYROYLTHREONINE TRIFLUOROACETATE						
CLA99KCD53	MEGLUTOL		http://www.drugbank.ca/drugs/DB04377	http://bio2rdf.org/drugbank:DB04377	http://purl.obolibrary.org/obo/CHEBI_16831		
CLE6G00625	N-METHYLADENOSINE						
CLE7K4B29S	AMYL BENZOATE						
CLF5YFS11O	PASSIFLORA INCARNATA FLOWERING TOP	1309979.0					
CLH5FT6412	FERUMOXYTOL NON-STOICHIOMETRIC MAGNETITE	473387.0				N0000177913	Parenteral Iron Replacement [EPC]
CLH5FT6412	FERUMOXYTOL NON-STOICHIOMETRIC MAGNETITE	473387.0				N0000006237	Iron [Chemical/Ingredient]
CLI5BZ1IMZ	GILA TROUT, COOKED						
CLK609T2D4	SUS SCROFA SOMATIC NERVE						
CLO4JRD21F	ANATIBANT		http://www.drugbank.ca/drugs/DB05038	http://bio2rdf.org/drugbank:DB05038			
CLO61R085W	ULMUS AMERICANA WHOLE						
CLV24I3T1D	PUNICA GRANATUM ROOT BARK	1354526.0					
CLW2OA0Q1K	C20-40 PARETH-95						
CLY16Y8Z7E	CARPHENAZINE		http://www.drugbank.ca/drugs/DB01038	http://bio2rdf.org/drugbank:DB01038			
CLY7M0XD20	MIGALASTAT HYDROCHLORIDE						
CLY9MRR8FV	ORAZAMIDE						
CM1N99QR1M	METRIZOIC ACID					N0000180185	Radiographic Contrast Agent [EPC]
CM1N99QR1M	METRIZOIC ACID					N0000010258	X-Ray Contrast Activity [MoA]
CM22UKA2YQ	THYMOL CARBONATE						
CM3HYX69SK	BRILACIDIN TETRAHYDROCHLORIDE						
CM4042HZ0O	MCPA-METHYL						
CM46XGM78M	.GAMMA.-AMINO-.BETA.-HYDROXYBUTYRIC ACID, (+)-						
CM4YV0QVK0	BELUGA WHOLE						
CM50SM561T	M-NITROANILINE						
CM5J1V7AUT	EBIRATIDE						
CM71768T6Q	ACETOXYACETONE						
CM8O68ZILA	3-METHYL-.GAMMA.-DECALACTONE						
CM8UUL60M7	MELALEUCA TERETIFOLIA LEAFY BRANCH OIL						
CM96O90UX1	2,3,5,6-TETRACHLOROTEREPHTHALOYL DICHLORIDE						
CM9XYQ4QSE	2,4,7,8,9-PENTACHLORO-3-DIBENZOFURANOL						
CMC18T611K	HEXAFLUOROBENZENE						
CMC30V039K	CEFTAZIDIME SODIUM	221071.0					
CMD0XG0J3A	TURTLE OIL						
CMF6Z78SWL	LOBENDAZOLE						
CMJ753697I	VERBENA HASTATA TOP						
CML390S782	OLMESARTAN LACTONE						
CMP2G8S7AM	PEG-10 DIOLEATE						
CMQ1L0E91Y	CHIR-98023						
CMS3N9J80G	MYRISTAMIDOPROPYL HYDROXYSULTAINE						
CMS88KUW0G	PSILOCIN						
CMX69F3697	MAGNESIUM CITRATE DIBASIC						
CMY3Y43O91	CHICKEN THIGH, COOKED						
CMY8668SAQ	BOVINE INTESTINAL ALKALINE PHOSPHATASE						
CN10GG674D	CYNOGLOSSUM OFFICINALE LEAF						
CN13K1R13J	N,N'-(ETHENE-1,2-DIYL)BIS(2-(2,6-DIMETHYLPHENOXY)ACETAMIDE), (Z)-						
CN1JX4AQDX	COCCOLOBA UVIFERA BARK						
CN1RK42MAD	2-HYDROXYBENZENEPROPANOIC ACID				http://purl.obolibrary.org/obo/CHEBI_16104		
CN3Q50K86V	GANODERMA PFEIFFERI FRUITING BODY						
CN422GY0TE	COBALT TITANIUM OXIDE						
CN524K9DXD	CHLOROACETONITRILE						
CN58I4TOET	HARMALINE						
CN5E49Z611	SODIUM ARTESUNATE						
CN65R36QDD	N,N-DIDESMETHYLMIFEPRISTONE						
CN68E94R2X	ROMAZARIT						
CN6GE686J2	2,4,5-TRICHLOROTOLUENE						
CN6J44B9FV	HUMAN MELANOMA SFHM8 CELL ANTIGENS						
CN772MJ74V	DIBUTYLDECYL ISOPHORONE DIISOCYANATE						
CN7KH697OH	3-HYDROXY-3-METHYL-2,4-PENTANEDIONE						
CN7Z8E38SU	BATA WHOLE						
CN87J0WK6J	GERAEA CANESCENS WHOLE						
CN8EF9N084	TOZASERTIB LACTATE						
CN8G09A1T0	BARRAMUNDI						
CN9N9AYV4B	CHLORODIPHENYLMETHANE						
CNA0S5T234	.DELTA.-DECALACTONE						
CNE998I12O	ABIES LASIOCARPA LEAF						
CNG7995Y4B	QUINOCIDE						
CNI6UL5029	DIPOTASSIUM OSMATE						
CNL581Y0WS	SCHIZOSTACHYUM CHINENSE RESIN						
CNN7Y60164	PKI-179						
CNO5MF0856	7-(P-CHLOROPHENYL)-7,8-DIHYDRO-1,3-DIMETHYL-1H-PYRAZOLO(3,4-D)(1,3)THIAZEPIN-4(5H)ONE						
CNP2HUT40Y	ATLANTIC HERRING WHOLE						
CNR73N2K09	PHENKAPTON						
CNU8DA2K9J	CGP-20712A						
