FDAPreferredTerm|DrugBankDrugString|CHEBI
CINCOFARM|Oxitriptan|http://purl.obolibrary.org/obo/CHEBI_17780
CINEOLE|Eucalyptol|http://purl.obolibrary.org/obo/CHEBI_27961
CINNARIZINE|Cinnarizine|http://purl.obolibrary.org/obo/CHEBI_31403
CINOLAZEPAM|Cinolazepam|http://purl.obolibrary.org/obo/CHEBI_59514
CINOXACIN|Cinoxacin|http://purl.obolibrary.org/obo/CHEBI_3716
CIN-QUIN|Quinidine|http://purl.obolibrary.org/obo/CHEBI_28593
CIPROFLOXACIN|Ciprofloxacin|http://purl.obolibrary.org/obo/CHEBI_100241
CIRANTIN|HESPERIDIN|http://purl.obolibrary.org/obo/CHEBI_28775
CISAPRIDE|Cisapride|http://purl.obolibrary.org/obo/CHEBI_3720
CIS-DIAMMINEDICHLOROPLATINUM|Cisplatin|http://purl.obolibrary.org/obo/CHEBI_27899
CISPLATIN|Cisplatin|http://purl.obolibrary.org/obo/CHEBI_27899
CISPLATINUM|Cisplatin|http://purl.obolibrary.org/obo/CHEBI_27899
CITALOPRAM|Citalopram|http://purl.obolibrary.org/obo/CHEBI_3723
CITRULLINE|L-Citrulline|http://purl.obolibrary.org/obo/CHEBI_16349
CLADRIBINE|Cladribine|http://purl.obolibrary.org/obo/CHEBI_567361
CLAMOXYL|Amoxicillin|http://purl.obolibrary.org/obo/CHEBI_2676
CLARAVIS|Isotretinoin|http://purl.obolibrary.org/obo/CHEBI_6067
CLARITHROMYCIN|Clarithromycin|http://purl.obolibrary.org/obo/CHEBI_3732
CLEMASTINE|Clemastine|http://purl.obolibrary.org/obo/CHEBI_3738
CLENBUTEROL|Clenbuterol|http://purl.obolibrary.org/obo/CHEBI_174690
CLINORIL|Sulindac|http://purl.obolibrary.org/obo/CHEBI_9352
CLOBAZAM|Clobazam|http://purl.obolibrary.org/obo/CHEBI_31413
CLOCORTOLONE|Clocortolone|http://purl.obolibrary.org/obo/CHEBI_59582
CLODRONATE|Clodronate|http://purl.obolibrary.org/obo/CHEBI_110423
CLODRONIC ACID|Clodronate|http://purl.obolibrary.org/obo/CHEBI_110423
CLOFARABINE|Clofarabine|http://purl.obolibrary.org/obo/CHEBI_681569
CLOFAZIMINE|Clofazimine|http://purl.obolibrary.org/obo/CHEBI_3749
CLOFENIRAMINA|Chlorphenamine|http://purl.obolibrary.org/obo/CHEBI_52010
CLOFEZONE|Rabeprazole|http://purl.obolibrary.org/obo/CHEBI_8768
CLOFIBRATE|Clofibrate|http://purl.obolibrary.org/obo/CHEBI_3750
CLOMIFENE|Clomifene|http://purl.obolibrary.org/obo/CHEBI_3752
CLOMOCYCLINE|Clomocycline|http://purl.obolibrary.org/obo/CHEBI_59589
CLONAZEPAM|Clonazepam|http://purl.obolibrary.org/obo/CHEBI_3756
CLONIDINE|Clonidine|http://purl.obolibrary.org/obo/CHEBI_46631
CLOPIDOGREL|Clopidogrel|http://purl.obolibrary.org/obo/CHEBI_37941
CLOZAPINE|Clozapine|http://purl.obolibrary.org/obo/CHEBI_3766
COACTIN|Amdinocillin|http://purl.obolibrary.org/obo/CHEBI_51208
COCAINUM|Cocaine|http://purl.obolibrary.org/obo/CHEBI_27958
COCARBOXYLASE|Thiamin Diphosphate|http://purl.obolibrary.org/obo/CHEBI_18290
CODEINE|Codeine|http://purl.obolibrary.org/obo/CHEBI_16714
CODEINE ANHYDROUS|Codeine|http://purl.obolibrary.org/obo/CHEBI_16714
CODERGOCRINE MESILATE|Ergoloid mesylate|http://purl.obolibrary.org/obo/CHEBI_34706
COENZYMATE|Thiamin Diphosphate|http://purl.obolibrary.org/obo/CHEBI_18290
COLECALCIFEROL|Cholecalciferol|http://purl.obolibrary.org/obo/CHEBI_28940
COLFORSIN|Forskolin|http://purl.obolibrary.org/obo/CHEBI_42471
COMTAN|Entacapone|http://purl.obolibrary.org/obo/CHEBI_4798
CONDYLOX|Podofilox|http://purl.obolibrary.org/obo/CHEBI_50305
CONIVAPTAN|Conivaptan|http://purl.obolibrary.org/obo/CHEBI_681850
CORANGIN|Isosorbide Mononitrate|http://purl.obolibrary.org/obo/CHEBI_6062
CORGARD|Nadolol|http://purl.obolibrary.org/obo/CHEBI_7444
CRINONE|Progesterone|http://purl.obolibrary.org/obo/CHEBI_17026
CROMOGLICIC ACID|Cromoglicic acid|http://purl.obolibrary.org/obo/CHEBI_59773
CROMOLYN|Cromoglicic acid|http://purl.obolibrary.org/obo/CHEBI_59773
CUTIVATE|Fluticasone Propionate|http://purl.obolibrary.org/obo/CHEBI_31441
CYANOCOBALAMIN|Cyanocobalamin|http://purl.obolibrary.org/obo/CHEBI_17439
CYCLANDELATE|Cyclandelate|http://purl.obolibrary.org/obo/CHEBI_3988
CYCLIZINE|Cyclizine|http://purl.obolibrary.org/obo/CHEBI_3994
CYCLOBENZAPRINE|Cyclobenzaprine|http://purl.obolibrary.org/obo/CHEBI_3996
CYCLOHEXYL KETONE|Cyclohexanone|http://purl.obolibrary.org/obo/CHEBI_17854
CYCLOPENTOLATE|Cyclopentolate|http://purl.obolibrary.org/obo/CHEBI_4024
CYCLOPHOSPHAMIDE ANHYDROUS|Cyclophosphamide|http://purl.obolibrary.org/obo/CHEBI_4027
CYCLOSPORINE|Cyclosporine|http://purl.obolibrary.org/obo/CHEBI_4031
CYCLOTHIAZIDE|Cyclothiazide|http://purl.obolibrary.org/obo/CHEBI_31448
CYCRIMINE|Cycrimine|http://purl.obolibrary.org/obo/CHEBI_59692
CYKLOKAPRON|Tranexamic Acid|http://purl.obolibrary.org/obo/CHEBI_48669
CYPROHEPTADINE|Cyproheptadine|http://purl.obolibrary.org/obo/CHEBI_4046
CYPROTERONE|Cyproterone|http://purl.obolibrary.org/obo/CHEBI_50742
CYSTEINE|L-Cysteine|http://purl.obolibrary.org/obo/CHEBI_17561
CYSTEINESULFONIC ACID|Cysteinesulfonic Acid|http://purl.obolibrary.org/obo/CHEBI_17285
D-(+)-BIOTIN|Biotin|http://purl.obolibrary.org/obo/CHEBI_15956
D-(+)-MALTOSE|Maltose|http://purl.obolibrary.org/obo/CHEBI_17306
DABIGATRAN ETEXILATE|Dabigatran etexilate|http://purl.obolibrary.org/obo/CHEBI_70746
DACARBAZINE|Dacarbazine|http://purl.obolibrary.org/obo/CHEBI_4305
DACTINOMYCIN|Dactinomycin|http://purl.obolibrary.org/obo/CHEBI_27666
DALFAMPRIDINE|Dalfampridine |http://purl.obolibrary.org/obo/CHEBI_34385
DALIRESP|Roflumilast|http://purl.obolibrary.org/obo/CHEBI_47657
D-AMPHETAMINE|Dextroamphetamine|http://purl.obolibrary.org/obo/CHEBI_4469
DANAZOL|Danazol|http://purl.obolibrary.org/obo/CHEBI_4315
DANOCRINE|Danazol|http://purl.obolibrary.org/obo/CHEBI_4315
DANTHRON|Dantron|http://purl.obolibrary.org/obo/CHEBI_3682
DANTROLENE|Dantrolene|http://purl.obolibrary.org/obo/CHEBI_4317
DANTRON|Dantron|http://purl.obolibrary.org/obo/CHEBI_3682
DAPIPRAZOLE|Dapiprazole|http://purl.obolibrary.org/obo/CHEBI_51066
DAPSONE|Dapsone|http://purl.obolibrary.org/obo/CHEBI_4325
DARIFENACIN|Darifenacin|http://purl.obolibrary.org/obo/CHEBI_391960
DARUNAVIR|Darunavir|http://purl.obolibrary.org/obo/CHEBI_367163
DASATINIB|Dasatinib|http://purl.obolibrary.org/obo/CHEBI_49375
DATURINE|Hyoscyamine|http://purl.obolibrary.org/obo/CHEBI_17486
DAYTRANA|Methylphenidate|http://purl.obolibrary.org/obo/CHEBI_6887
DDC|Zalcitabine|http://purl.obolibrary.org/obo/CHEBI_10101
DEBRISOQUINE|Debrisoquin|http://purl.obolibrary.org/obo/CHEBI_34665
DECADRON|Dexamethasone|http://purl.obolibrary.org/obo/CHEBI_41879
DECANOIC ACID|Decanoic Acid|http://purl.obolibrary.org/obo/CHEBI_30813
DECITABINE|Decitabine|http://purl.obolibrary.org/obo/CHEBI_50131
DEFERIPRONE|Deferiprone|http://purl.obolibrary.org/obo/CHEBI_68554
DEFEROXAMINE|Deferoxamine|http://purl.obolibrary.org/obo/CHEBI_4356
DEFILTRAN|Acetazolamide|http://purl.obolibrary.org/obo/CHEBI_27690
DEFINITY|Perflutren|http://purl.obolibrary.org/obo/CHEBI_31980
DEHYDRATED ETHANOL|Ethanol|http://purl.obolibrary.org/obo/CHEBI_16236
DEHYDROALANINE|2,3-Didehydroalanine|http://purl.obolibrary.org/obo/CHEBI_17123
DEHYDROASCORBIC ACID|Dehydroascorbic Acid|http://purl.obolibrary.org/obo/CHEBI_27956
DEHYDROISOANDROSTERONE|Dehydroepiandrosterone|http://purl.obolibrary.org/obo/CHEBI_28689
DEHYDROSTILBESTROL|Dienestrol|http://purl.obolibrary.org/obo/CHEBI_4518
DELAVIRDINE|Delavirdine|http://purl.obolibrary.org/obo/CHEBI_119573
DELPHINIC ACID|Isovaleric Acid|http://purl.obolibrary.org/obo/CHEBI_28484
DEMECLOCYCLINE|Demeclocycline|http://purl.obolibrary.org/obo/CHEBI_4392
DEMETHYLCHLORTETRACYCLINE|Demeclocycline|http://purl.obolibrary.org/obo/CHEBI_4392
DEOXYADENOSINE|Adenosine|http://purl.obolibrary.org/obo/CHEBI_16335
DEOXYCYTIDINE|2'-Deoxycytidine|http://purl.obolibrary.org/obo/CHEBI_15698
DEOXYCYTIDINE MONOPHOSPHATE|2'-Deoxycytidine-5'-Monophosphate|http://purl.obolibrary.org/obo/CHEBI_15918
DEOXYGUANOSINE 5'-MONOPHOSPHATE|2'-Deoxyguanosine-5'-Monophosphate|http://purl.obolibrary.org/obo/CHEBI_16192
DEOXYURIDINE|2'-Deoxyuridine|http://purl.obolibrary.org/obo/CHEBI_16450
DESFERRIOXAMINE|Deferoxamine|http://purl.obolibrary.org/obo/CHEBI_4356
DESIPRAMINE|Desipramine|http://purl.obolibrary.org/obo/CHEBI_47781
DESLANOSIDE|Deslanoside|http://purl.obolibrary.org/obo/CHEBI_31468
DESLORATADINE|Desloratadine|http://purl.obolibrary.org/obo/CHEBI_291342
DESMOPRESSIN|Desmopressin|http://purl.obolibrary.org/obo/CHEBI_4450
DESOGESTREL|Desogestrel|http://purl.obolibrary.org/obo/CHEBI_4453
DESONIDE|Desonide|http://purl.obolibrary.org/obo/CHEBI_204734
DESOXIMETASONE|Desoximetasone|http://purl.obolibrary.org/obo/CHEBI_691037
DESOXYADENOSINE|Adenosine|http://purl.obolibrary.org/obo/CHEBI_16335
DESOXYCHOLIC ACID|Deoxycholic Acid|http://purl.obolibrary.org/obo/CHEBI_28834
DEXAMETHASONE|Dexamethasone|http://purl.obolibrary.org/obo/CHEBI_41879
DEXBROMPHENIRAMINE|Dexbrompheniramine|http://purl.obolibrary.org/obo/CHEBI_59269
DEXFENFLURAMINE|Dexfenfluramine|http://purl.obolibrary.org/obo/CHEBI_439329
DEXMEDETOMIDINE|Dexmedetomidine|http://purl.obolibrary.org/obo/CHEBI_4466
DEXRAZOXANE|Dexrazoxane|http://purl.obolibrary.org/obo/CHEBI_50223
DEXTROAMPHETAMINE|Dextroamphetamine|http://purl.obolibrary.org/obo/CHEBI_4469
DEXTROPROPOXYPHENE|Dextropropoxyphene|http://purl.obolibrary.org/obo/CHEBI_51173
DEXTROTHYROXINE|Dextrothyroxine|http://purl.obolibrary.org/obo/CHEBI_30659
DEZOCINE|Dezocine|http://purl.obolibrary.org/obo/CHEBI_4474
DFMO|Alpha-Difluoromethylornithine|http://purl.obolibrary.org/obo/CHEBI_41948
DHA|Docosa-4,7,10,13,16,19-Hexaenoic Acid|http://purl.obolibrary.org/obo/CHEBI_28125
DHAA|Dehydroascorbic Acid|http://purl.obolibrary.org/obo/CHEBI_27956
DHEA|Dehydroepiandrosterone|http://purl.obolibrary.org/obo/CHEBI_28689
DIABETA|Glyburide|http://purl.obolibrary.org/obo/CHEBI_5441
DIACETYLMORPHINE|Heroin|http://purl.obolibrary.org/obo/CHEBI_27808
DIAMORPHINE|Heroin|http://purl.obolibrary.org/obo/CHEBI_27808
DIAMOX|Acetazolamide|http://purl.obolibrary.org/obo/CHEBI_27690
DIAPHENYLSULFONE|Dapsone|http://purl.obolibrary.org/obo/CHEBI_4325
DIAZOXIDE|Diazoxide|http://purl.obolibrary.org/obo/CHEBI_4495
DIBUCAINE|Cinchocaine|http://purl.obolibrary.org/obo/CHEBI_247956
DICHLORACETIC ACID|Dichloroacetic Acid|http://purl.obolibrary.org/obo/CHEBI_36386
DICHLOROACETATE|Dichloroacetic Acid|http://purl.obolibrary.org/obo/CHEBI_36386
DICHLORPHENAMIDE|Dichlorphenamide|http://purl.obolibrary.org/obo/CHEBI_101085
DICOUMAROL|Dicoumarol|http://purl.obolibrary.org/obo/CHEBI_4513
DICUMAROL|Dicoumarol|http://purl.obolibrary.org/obo/CHEBI_4513
DICYCLOVERINE|Dicyclomine|http://purl.obolibrary.org/obo/CHEBI_4514
DIDANOSINE|Didanosine|http://purl.obolibrary.org/obo/CHEBI_490877
DIDEOXYINOSINE|Didanosine|http://purl.obolibrary.org/obo/CHEBI_490877
DIENESTROL|Dienestrol|http://purl.obolibrary.org/obo/CHEBI_4518
DIFENIDOL|Diphenidol|http://purl.obolibrary.org/obo/CHEBI_4638
DIFENOXIN|Difenoxin|http://purl.obolibrary.org/obo/CHEBI_4534
DIFICID|Fidaxomicin|http://purl.obolibrary.org/obo/CHEBI_68590
DIFLORASONE|Diflorasone|http://purl.obolibrary.org/obo/CHEBI_59750
DIFLUCAN|Fluconazole|http://purl.obolibrary.org/obo/CHEBI_46081
DIGITOXOSIDE|Digitoxin|http://purl.obolibrary.org/obo/CHEBI_28544
DIGOXIN|Digoxin|http://purl.obolibrary.org/obo/CHEBI_4551
DIHYDROERGOTAMINE|Dihydroergotamine|http://purl.obolibrary.org/obo/CHEBI_4562
DIHYDROERGOTOXINE MESILATE|Ergoloid mesylate|http://purl.obolibrary.org/obo/CHEBI_34706
DIHYDROERGOTOXINE MESYLATE|Ergoloid mesylate|http://purl.obolibrary.org/obo/CHEBI_34706
DIHYDROERGOTOXINE METHANESULFONATE|Ergoloid mesylate|http://purl.obolibrary.org/obo/CHEBI_34706
DIHYDROGENATED ERGOT ALKALOIDS|Ergoloid mesylate|http://purl.obolibrary.org/obo/CHEBI_34706
DIHYDRO-P-COUMARIC ACID|Hydroxyphenyl Propionic Acid|http://purl.obolibrary.org/obo/CHEBI_32980
DIHYDROQUERCETIN|(2s,3s)-Trans-Dihydroquercetin|http://purl.obolibrary.org/obo/CHEBI_17948
DIHYDROTACHYSTEROL|Dihydrotachysterol|http://purl.obolibrary.org/obo/CHEBI_4591
DIHYDROTESTOSTERONE|Dihydrotestosterone|http://purl.obolibrary.org/obo/CHEBI_16330
DIHYDROTHIOCTIC ACID|Dihydrolipoic Acid|http://purl.obolibrary.org/obo/CHEBI_18047
DIHYDROXYACETONE|Dihydroxyacetone|http://purl.obolibrary.org/obo/CHEBI_16016
DIIODOMERCURY|Mercury Diiodide|http://purl.obolibrary.org/obo/CHEBI_49659
DIIODOTYROSINE|3,5-Diiodotyrosine|http://purl.obolibrary.org/obo/CHEBI_15768
DIISOPROPYL PHOSPHOROFLUORIDATE|Isoflurophate|http://purl.obolibrary.org/obo/CHEBI_17941
DILANTIN|Phenytoin|http://purl.obolibrary.org/obo/CHEBI_8107
DILTIAZEM|Diltiazem|http://purl.obolibrary.org/obo/CHEBI_101278
DIMENHYDRINATE|Dimenhydrinate|http://purl.obolibrary.org/obo/CHEBI_4604
DIMETHYL SULFOXIDE|Dimethyl sulfoxide|http://purl.obolibrary.org/obo/CHEBI_28262
DIMETHYL SULPHOXIDE|Dimethyl sulfoxide|http://purl.obolibrary.org/obo/CHEBI_28262
DIMETHYLACETIC ACID|Isobutyric Acid|http://purl.obolibrary.org/obo/CHEBI_16135
DIMETHYLFORMAMIDE|Dimethylformamide|http://purl.obolibrary.org/obo/CHEBI_17741
DIMETHYLGLYCINE|Dimethylglycine|http://purl.obolibrary.org/obo/CHEBI_17724
DIMETHYLPYRUVIC ACID|Alpha-ketoisovalerate|http://purl.obolibrary.org/obo/CHEBI_16530
DIMETHYLTHIAMBUTENE|Dimethylthiambutene|http://purl.obolibrary.org/obo/CHEBI_59781
DINOPROSTONE|Dinoprostone|http://purl.obolibrary.org/obo/CHEBI_15551
DIOVAN|Valsartan|http://purl.obolibrary.org/obo/CHEBI_9927
DIPALMITOYLPHOSPHATIDYLGLYCEROL|1,2-Dipalmitoyl-Phosphatidyl-Glycerole|http://purl.obolibrary.org/obo/CHEBI_60724
DIPHEMANIL METHYLSULFATE|Diphemanil Methylsulfate|http://purl.obolibrary.org/obo/CHEBI_59782
DIPHEMANIL METILSULFATE|Diphemanil Methylsulfate|http://purl.obolibrary.org/obo/CHEBI_59782
DIPHENHYDRAMINE|Diphenhydramine|http://purl.obolibrary.org/obo/CHEBI_4636
DIPHENYLPYRALINE|Diphenylpyraline|http://purl.obolibrary.org/obo/CHEBI_59788
DIPIVALYL EPINEPHRINE|Dipivefrin|http://purl.obolibrary.org/obo/CHEBI_4646
DIPIVEFRINE|Dipivefrin|http://purl.obolibrary.org/obo/CHEBI_4646
DIPROPHYLLINE|Dyphylline|http://purl.obolibrary.org/obo/CHEBI_4728
DIPYRIDAMOLE|Dipyridamole|http://purl.obolibrary.org/obo/CHEBI_4653
DISOPYRAMIDE|Disopyramide|http://purl.obolibrary.org/obo/CHEBI_4657
D-LIMONENE 1,2-EPOXIDE|D-Limonene 1,2-Epoxide|http://purl.obolibrary.org/obo/CHEBI_43812
DMF|Dimethylformamide|http://purl.obolibrary.org/obo/CHEBI_17741
DMI|Desipramine|http://purl.obolibrary.org/obo/CHEBI_47781
DMSO|Dimethyl sulfoxide|http://purl.obolibrary.org/obo/CHEBI_28262
DOBUTAMINE|Dobutamine|http://purl.obolibrary.org/obo/CHEBI_4670
DOCONEXENT|Docosa-4,7,10,13,16,19-Hexaenoic Acid|http://purl.obolibrary.org/obo/CHEBI_28125
DOCOSAHEXAENOIC ACID|Docosa-4,7,10,13,16,19-Hexaenoic Acid|http://purl.obolibrary.org/obo/CHEBI_28125
DOCOSANOL|Docosanol|http://purl.obolibrary.org/obo/CHEBI_31000
DODECYL ALCOHOL|1-DODECANOL|http://purl.obolibrary.org/obo/CHEBI_28878
DOFETILIDE|Dofetilide|http://purl.obolibrary.org/obo/CHEBI_4681
DOLOBID|Diflunisal|http://purl.obolibrary.org/obo/CHEBI_39669
DOMPERIDONE|Domperidone|http://purl.obolibrary.org/obo/CHEBI_31515
DONEPEZIL|Donepezil|http://purl.obolibrary.org/obo/CHEBI_53289
DOPAMINE|Dopamine|http://purl.obolibrary.org/obo/CHEBI_18243
DOPAMINE LUTINE|3h-Indole-5,6-Diol|http://purl.obolibrary.org/obo/CHEBI_27404
DOPAR|L-DOPA|http://purl.obolibrary.org/obo/CHEBI_15765
DORZOLAMIDE|Dorzolamide|http://purl.obolibrary.org/obo/CHEBI_4702
DOVONEX|Calcipotriol|http://purl.obolibrary.org/obo/CHEBI_50749
DOXACURIUM CHLORIDE|Doxacurium chloride|http://purl.obolibrary.org/obo/CHEBI_4707
DOXAPRAM|Doxapram|http://purl.obolibrary.org/obo/CHEBI_681848
DOXAZOSIN|Doxazosin|http://purl.obolibrary.org/obo/CHEBI_4708
DOXORUBICIN|Doxorubicin|http://purl.obolibrary.org/obo/CHEBI_28748
DOXYLAMINE|Doxylamine|http://purl.obolibrary.org/obo/CHEBI_51380
DRACYLIC ACID|Benzoic Acid|http://purl.obolibrary.org/obo/CHEBI_30746
DROMOSTANOLONE|Drostanolone|http://purl.obolibrary.org/obo/CHEBI_34838
DRONEDARONE|Dronedarone|http://purl.obolibrary.org/obo/CHEBI_50659
DROPERIDOL|Droperidol|http://purl.obolibrary.org/obo/CHEBI_4717
DROSPIRENONE|Drospirenone|http://purl.obolibrary.org/obo/CHEBI_50838
DROSTANOLONE|Drostanolone|http://purl.obolibrary.org/obo/CHEBI_34838
D-SORBITOL|D-Sorbitol|http://purl.obolibrary.org/obo/CHEBI_17924
D-TUBOCURARINE|Tubocurarine|http://purl.obolibrary.org/obo/CHEBI_9774
DUBOISINE|Hyoscyamine|http://purl.obolibrary.org/obo/CHEBI_17486
DURABOLIN|Nandrolone phenpropionate|http://purl.obolibrary.org/obo/CHEBI_7468
DYCLONINE|Dyclonine|http://purl.obolibrary.org/obo/CHEBI_4724
DYDROGESTERONE|Dydrogesterone|http://purl.obolibrary.org/obo/CHEBI_31527
DYMELOR|Acetohexamide|http://purl.obolibrary.org/obo/CHEBI_28052
EACA|Aminocaproic Acid|http://purl.obolibrary.org/obo/CHEBI_16586
ECHOTHIOPHATE|Echothiophate|http://purl.obolibrary.org/obo/CHEBI_4753
ECOTHIOPATE|Echothiophate|http://purl.obolibrary.org/obo/CHEBI_4753
EDARBI|Azilsartan medoxomil|http://purl.obolibrary.org/obo/CHEBI_68845
EDEX|Alprostadil|http://purl.obolibrary.org/obo/CHEBI_15544
EDROPHONIUM ION|Edrophonium|http://purl.obolibrary.org/obo/CHEBI_251408
EFLORNITHINE|Alpha-Difluoromethylornithine|http://purl.obolibrary.org/obo/CHEBI_41948
ELETRIPTAN|Eletriptan|http://purl.obolibrary.org/obo/CHEBI_50922
ELIETEN|Metoclopramide|http://purl.obolibrary.org/obo/CHEBI_107736
ELIQUIS|Apixaban|http://purl.obolibrary.org/obo/CHEBI_72296
ELIXOPHYLLIN|Theophylline|http://purl.obolibrary.org/obo/CHEBI_28177
ELLAGIC ACID|Ellagic Acid|http://purl.obolibrary.org/obo/CHEBI_4775
ELOXATIN|Oxaliplatin|http://purl.obolibrary.org/obo/CHEBI_31941
EMEDASTINE|Emedastine|http://purl.obolibrary.org/obo/CHEBI_4779
ENALAPRIL|Enalapril|http://purl.obolibrary.org/obo/CHEBI_4784
ENANTHIC ACID|Heptanoic Acid|http://purl.obolibrary.org/obo/CHEBI_45571
ENANTHYLIC ACID|Heptanoic Acid|http://purl.obolibrary.org/obo/CHEBI_45571
ENCAINIDE|Encainide|http://purl.obolibrary.org/obo/CHEBI_4788
ENOXACIN|Enoxacin|http://purl.obolibrary.org/obo/CHEBI_157175
ENOXAPARIN|Heparin|http://purl.obolibrary.org/obo/CHEBI_28304
ENPROFYLLINE|Enprofylline|http://purl.obolibrary.org/obo/CHEBI_126237
ENTACAPONE|Entacapone|http://purl.obolibrary.org/obo/CHEBI_4798
EPA|Icosapent|http://purl.obolibrary.org/obo/CHEBI_28364
EPHEDRINE|Ephedrine|http://purl.obolibrary.org/obo/CHEBI_15407
EPINASTINE|Epinastine|http://purl.obolibrary.org/obo/CHEBI_51032
EPINEPHRINE|Epinephrine|http://purl.obolibrary.org/obo/CHEBI_28918
EPIPEN|Epinephrine|http://purl.obolibrary.org/obo/CHEBI_28918
EPIRUBICIN|Epirubicin|http://purl.obolibrary.org/obo/CHEBI_47898
EPIRUBICINE|Epirubicin|http://purl.obolibrary.org/obo/CHEBI_47898
EPIVIR|Lamivudine|http://purl.obolibrary.org/obo/CHEBI_63577
EPLERENONE|Eplerenone|http://purl.obolibrary.org/obo/CHEBI_31547
EPOPROSTENOL|Epoprostenol|http://purl.obolibrary.org/obo/CHEBI_15552
EPROSARTAN|Eprosartan|http://purl.obolibrary.org/obo/CHEBI_4814
EPSILON-AMINOCAPROIC ACID|Aminocaproic Acid|http://purl.obolibrary.org/obo/CHEBI_16586
ERGOCALCIFEROL|Ergocalciferol|http://purl.obolibrary.org/obo/CHEBI_28934
ERGOLOID MESYLATES|Ergoloid mesylate|http://purl.obolibrary.org/obo/CHEBI_34706
ERGOMETRINE|Ergonovine|http://purl.obolibrary.org/obo/CHEBI_4822
ERGONOVINE|Ergonovine|http://purl.obolibrary.org/obo/CHEBI_4822
ERISPAN|Fludiazepam|http://purl.obolibrary.org/obo/CHEBI_31618
ERITRITYL TETRANITRATE|Erythrityl Tetranitrate|http://purl.obolibrary.org/obo/CHEBI_60072
ERIVEDGE|Vismodegib|http://purl.obolibrary.org/obo/CHEBI_66903
ERLOTINIB|Erlotinib|http://purl.obolibrary.org/obo/CHEBI_114785
ERTAPENEM|Ertapenem|http://purl.obolibrary.org/obo/CHEBI_404903
ERYTHRITE|Meso-Erythritol|http://purl.obolibrary.org/obo/CHEBI_17113
ERYTHRITOL TETRANITRATE|Erythrityl Tetranitrate|http://purl.obolibrary.org/obo/CHEBI_60072
ERYTHROL|Meso-Erythritol|http://purl.obolibrary.org/obo/CHEBI_17113
ERYTHROL TETRANITRATE|Erythrityl Tetranitrate|http://purl.obolibrary.org/obo/CHEBI_60072
ESCITALOPRAM|Escitalopram|http://purl.obolibrary.org/obo/CHEBI_36791
ESERINE|Physostigmine|http://purl.obolibrary.org/obo/CHEBI_27953
ESKAZOLE|Albendazole|http://purl.obolibrary.org/obo/CHEBI_16664
ESMOLOL|Esmolol|http://purl.obolibrary.org/obo/CHEBI_4856
ESOMEPRAZOLE|Esomeprazole|http://purl.obolibrary.org/obo/CHEBI_50275
ESTAZOLAM|Estazolam|http://purl.obolibrary.org/obo/CHEBI_4858
ESTRADIOL|Estradiol|http://purl.obolibrary.org/obo/CHEBI_16469
ESTRAMUSTINE|Estramustine|http://purl.obolibrary.org/obo/CHEBI_4868
ESTRONE|Estrone|http://purl.obolibrary.org/obo/CHEBI_17263
ESZOPICLONE|Eszopiclone|http://purl.obolibrary.org/obo/CHEBI_53760
ETACRYNIC ACID|Ethacrynic acid|http://purl.obolibrary.org/obo/CHEBI_4876
ETHACRYNATE|Ethacrynic acid|http://purl.obolibrary.org/obo/CHEBI_4876
ETHAMBUTOL|Ethambutol|http://purl.obolibrary.org/obo/CHEBI_4877
ETHANE|Isoflurane|http://purl.obolibrary.org/obo/CHEBI_6015
ETHANEDIOIC ACID|Oxalic Acid|http://purl.obolibrary.org/obo/CHEBI_16995
ETHCHLORVYNOL|Ethchlorvynol|http://purl.obolibrary.org/obo/CHEBI_4882
ETHINAMATE|Ethinamate|http://purl.obolibrary.org/obo/CHEBI_4884
ETHINYL ESTRADIOL|Ethinyl Estradiol|http://purl.obolibrary.org/obo/CHEBI_4903
ETHINYLESTRADIOL|Ethinyl Estradiol|http://purl.obolibrary.org/obo/CHEBI_4903
ETHINYLOESTRADIOL|Ethinyl Estradiol|http://purl.obolibrary.org/obo/CHEBI_4903
ETHOPROPAZINE|Ethopropazine|http://purl.obolibrary.org/obo/CHEBI_313639
ETHOSUXIMIDE|Ethosuximide|http://purl.obolibrary.org/obo/CHEBI_4887
ETHOTOIN|Ethotoin|http://purl.obolibrary.org/obo/CHEBI_4888
ETHRANE|Enflurane|http://purl.obolibrary.org/obo/CHEBI_4792
ETHYL ALCOHOL|Ethanol|http://purl.obolibrary.org/obo/CHEBI_16236
ETHYL AMINOBENZOATE|Benzocaine|http://purl.obolibrary.org/obo/CHEBI_116735
ETHYL P-AMINOBENZOATE|Benzocaine|http://purl.obolibrary.org/obo/CHEBI_116735
ETHYLACETIC ACID|Butanoic Acid|http://purl.obolibrary.org/obo/CHEBI_30772
ETHYLENE DICHLORIDE|Ethylene Dichloride|http://purl.obolibrary.org/obo/CHEBI_27789
ETHYLENE GLYCOL MONOETHYL ETHER|2-Ethoxyethanol|http://purl.obolibrary.org/obo/CHEBI_46788
ETHYOL|Amifostine|http://purl.obolibrary.org/obo/CHEBI_2636
ETIDRONATE|Etidronic acid|http://purl.obolibrary.org/obo/CHEBI_4907
ETIDRONIC ACID|Etidronic acid|http://purl.obolibrary.org/obo/CHEBI_4907
ETIOCHOLANOLONE|Aetiocholanolone|http://purl.obolibrary.org/obo/CHEBI_28195
ETN|Erythrityl Tetranitrate|http://purl.obolibrary.org/obo/CHEBI_60072
