FDAPreferredTerm|DrugBankDrugString|DrugBank
EPIRUBICIN|Epirubicin|http://www.drugbank.ca/drugs/DB00445
EPLERENONE|Eplerenone|http://www.drugbank.ca/drugs/DB00700
EPOPROSTENOL|Epoprostenol|http://www.drugbank.ca/drugs/DB01240
EPROSARTAN|Eprosartan|http://www.drugbank.ca/drugs/DB00876
EQUILENIN|Equilenin|http://www.drugbank.ca/drugs/DB03515
EQUILIN|Equilin|http://www.drugbank.ca/drugs/DB02187
ERGOCALCIFEROL|Ergocalciferol|http://www.drugbank.ca/drugs/DB00153
ERGONOVINE|Ergonovine|http://www.drugbank.ca/drugs/DB01253
ERGOTAMINE|Ergotamine|http://www.drugbank.ca/drugs/DB00696
ERITORAN TETRASODIUM|Eritoran|http://www.drugbank.ca/drugs/DB04933
ERLOTINIB|Erlotinib|http://www.drugbank.ca/drugs/DB00530
ERTAPENEM|Ertapenem|http://www.drugbank.ca/drugs/DB00303
ERYTHRITOL|Meso-Erythritol|http://www.drugbank.ca/drugs/DB04481
ERYTHRITYL TETRANITRATE|Erythrityl Tetranitrate|http://www.drugbank.ca/drugs/DB01613
ERYTHROMYCIN|Erythromycin|http://www.drugbank.ca/drugs/DB00199
ESCITALOPRAM|Escitalopram|http://www.drugbank.ca/drugs/DB01175
ESREBOXETINE|Reboxetine|http://www.drugbank.ca/drugs/DB00234
ESTAZOLAM|Estazolam|http://www.drugbank.ca/drugs/DB01215
ESTRADIOL|Estradiol|http://www.drugbank.ca/drugs/DB00783
ESTRAMUSTINE|Estramustine|http://www.drugbank.ca/drugs/DB01196
ESTRIOL|Estriol|http://www.drugbank.ca/drugs/DB04573
ESTRONE|Estrone|http://www.drugbank.ca/drugs/DB00655
ESTRONE SODIUM SULFATE|Conjugated Estrogens|http://www.drugbank.ca/drugs/DB00286
ESTRONE SULFATE|Estropipate|http://www.drugbank.ca/drugs/DB04574
ESZOPICLONE|Eszopiclone|http://www.drugbank.ca/drugs/DB00402
ETHACRYNIC ACID|Ethacrynic acid|http://www.drugbank.ca/drugs/DB00903
ETHAMBUTOL|Ethambutol|http://www.drugbank.ca/drugs/DB00330
ETHANESULFONIC ACID|Ethanesulfonic Acid|http://www.drugbank.ca/drugs/DB03635
ETHANOLAMINE OLEATE|Ethanolamine Oleate|http://www.drugbank.ca/drugs/DB06689
ETHINAMATE|Ethinamate|http://www.drugbank.ca/drugs/DB01031
ETHIONAMIDE|Ethionamide|http://www.drugbank.ca/drugs/DB00609
ETHOXZOLAMIDE|Ethoxzolamide|http://www.drugbank.ca/drugs/DB00311
ETHYLBENZENE|Ethylbenzene|http://www.drugbank.ca/drugs/DB01722
ETHYLENE DICHLORIDE|Ethylene Dichloride|http://www.drugbank.ca/drugs/DB03733
ETHYLENE GLYCOL MONOETHYL ETHER|2-Ethoxyethanol|http://www.drugbank.ca/drugs/DB02249
ETHYLENE GLYCOL MONOMETHYL ETHER|2-Methoxyethanol|http://www.drugbank.ca/drugs/DB02806
ETHYLESTRENOL|Ethylestrenol|http://www.drugbank.ca/drugs/DB01493
ETHYLMERCURITHIOSALICYLIC ACID|Thimerosal|http://www.drugbank.ca/drugs/DB02731
ETHYLMORPHINE|Ethylmorphine|http://www.drugbank.ca/drugs/DB01466
ETHYL-N-METHYLCARBAMATE|Methyl-Carbamic Acid Ethyl Ester|http://www.drugbank.ca/drugs/DB02856
ETHYNODIOL DIACETATE|Ethynodiol|http://www.drugbank.ca/drugs/DB00823
ETIDRONIC ACID|Etidronic acid|http://www.drugbank.ca/drugs/DB01077
ETIOCHOLANOLONE|Aetiocholanolone|http://www.drugbank.ca/drugs/DB02854
ETIRACETAM, (R)-|Levetiracetam|http://www.drugbank.ca/drugs/DB01202
ETOMIDATE|Etomidate|http://www.drugbank.ca/drugs/DB00292
ETONITAZENE|Etonitazene|http://www.drugbank.ca/drugs/DB01462
ETONOGESTREL|Etonogestrel|http://www.drugbank.ca/drugs/DB00294
ETOPOSIDE|Etoposide|http://www.drugbank.ca/drugs/DB00773
ETORICOXIB|Etoricoxib|http://www.drugbank.ca/drugs/DB01628
ETOXERIDINE|Etoxeridine|http://www.drugbank.ca/drugs/DB01505
ETRETINATE|Etretinate|http://www.drugbank.ca/drugs/DB00926
EXEMESTANE|Exemestane|http://www.drugbank.ca/drugs/DB00990
EZETIMIBE|Ezetimibe|http://www.drugbank.ca/drugs/DB00973
EZOGABINE|Ezogabine |http://www.drugbank.ca/drugs/DB04953
FAMCICLOVIR|Famciclovir|http://www.drugbank.ca/drugs/DB00426
FAMOTIDINE|Famotidine|http://www.drugbank.ca/drugs/DB00927
FARNESOL, (2Z,6Z)-|Farnesol|http://www.drugbank.ca/drugs/DB02509
FARNESYL PYROPHOSPHATE|FARNESYL DIPHOSPHATE|http://www.drugbank.ca/drugs/DB07780
FAROPENEM MEDOXOMIL|faropenem medoxomil|http://www.drugbank.ca/drugs/DB05659
FELBAMATE|Felbamate|http://www.drugbank.ca/drugs/DB00949
FENOFIBRATE|Fenofibrate|http://www.drugbank.ca/drugs/DB01039
FENRETINIDE|Fenretinide|http://www.drugbank.ca/drugs/DB05076
FENTANYL|Fentanyl|http://www.drugbank.ca/drugs/DB00813
FESOTERODINE|Fesoterodine|http://www.drugbank.ca/drugs/DB06702
FILAMINAST|Filaminast|http://www.drugbank.ca/drugs/DB02660
FINASTERIDE|Finasteride|http://www.drugbank.ca/drugs/DB01216
FINGOLIMOD|Fingolimod|http://www.drugbank.ca/drugs/DB08868
FLAVIN ADENINE DINUCLEOTIDE|Flavin adenine dinucleotide|http://www.drugbank.ca/drugs/DB03147
FLAVOXATE|Flavoxate|http://www.drugbank.ca/drugs/DB01148
FLIBANSERIN|Flibanserin|http://www.drugbank.ca/drugs/DB04908
FLOXURIDINE|Floxuridine|http://www.drugbank.ca/drugs/DB00322
FLUCLOXACILLIN|Flucloxacillin|http://www.drugbank.ca/drugs/DB00301
FLUCONAZOLE|Fluconazole|http://www.drugbank.ca/drugs/DB00196
FLUCYTOSINE|Flucytosine|http://www.drugbank.ca/drugs/DB01099
FLUDARABINE PHOSPHATE|Fludarabine|http://www.drugbank.ca/drugs/DB01073
FLUDIAZEPAM|Fludiazepam|http://www.drugbank.ca/drugs/DB01567
FLUDROCORTISONE|Fludrocortisone|http://www.drugbank.ca/drugs/DB00687
FLUFENAMIC ACID|Flufenamic Acid|http://www.drugbank.ca/drugs/DB02266
FLUMAZENIL|Flumazenil|http://www.drugbank.ca/drugs/DB01205
FLUMETHASONE PIVALATE|Flumethasone Pivalate|http://www.drugbank.ca/drugs/DB00663
FLUNARIZINE|Flunarizine|http://www.drugbank.ca/drugs/DB04841
FLUNISOLIDE ANHYDROUS|Flunisolide|http://www.drugbank.ca/drugs/DB00180
FLUNITRAZEPAM|Flunitrazepam|http://www.drugbank.ca/drugs/DB01544
FLUOCINOLONE ACETONIDE|Fluocinolone Acetonide|http://www.drugbank.ca/drugs/DB00591
FLUOCINONIDE|Fluocinonide|http://www.drugbank.ca/drugs/DB01047
FLUORESCEIN|Fluorescein|http://www.drugbank.ca/drugs/DB00693
FLUOROMETHOLONE|Fluorometholone|http://www.drugbank.ca/drugs/DB00324
FLUOROURACIL|Fluorouracil|http://www.drugbank.ca/drugs/DB00544
FLUOXYMESTERONE|Fluoxymesterone|http://www.drugbank.ca/drugs/DB01185
FLUPHENAZINE|Fluphenazine|http://www.drugbank.ca/drugs/DB00623
FLUPIRTINE|Flupirtine|http://www.drugbank.ca/drugs/DB06623
FLURANDRENOLIDE|Flurandrenolide|http://www.drugbank.ca/drugs/DB00846
FLURAZEPAM|Flurazepam|http://www.drugbank.ca/drugs/DB00690
FLUSPIRILENE|Fluspirilene|http://www.drugbank.ca/drugs/DB04842
FLUTAMIDE|Flutamide|http://www.drugbank.ca/drugs/DB00499
FLUTICASONE FUROATE|Fluticasone furoate |http://www.drugbank.ca/drugs/DB08906
FLUTICASONE PROPIONATE|Fluticasone Propionate|http://www.drugbank.ca/drugs/DB00588
FLUVOXAMINE|Fluvoxamine|http://www.drugbank.ca/drugs/DB00176
FOLIC ACID|Folic Acid|http://www.drugbank.ca/drugs/DB00158
FOMEPIZOLE|Fomepizole|http://www.drugbank.ca/drugs/DB01213
FORASARTAN|Forasartan|http://www.drugbank.ca/drugs/DB01342
FORMALDEHYDE|Formaldehyde|http://www.drugbank.ca/drugs/DB03843
FORMEBOLONE|Formebolone|http://www.drugbank.ca/drugs/DB01569
FORMESTANE|Formestane|http://www.drugbank.ca/drugs/DB08905
FORMIC ACID|Formic Acid|http://www.drugbank.ca/drugs/DB01942
FORMYLMETHIONINE|N-Formylmethionine|http://www.drugbank.ca/drugs/DB04464
FOSAMPRENAVIR|Fosamprenavir|http://www.drugbank.ca/drugs/DB01319
FOSAPREPITANT|Fosaprepitant|http://www.drugbank.ca/drugs/DB06717
FOSCARNET|Foscarnet|http://www.drugbank.ca/drugs/DB00529
FOSFOMYCIN|Fosfomycin|http://www.drugbank.ca/drugs/DB00828
FOSMIDOMYCIN|Fosmidomycin|http://www.drugbank.ca/drugs/DB02948
FOSPHENYTOIN|Fosphenytoin|http://www.drugbank.ca/drugs/DB01320
FOSPROPOFOL|Fospropofol|http://www.drugbank.ca/drugs/DB06716
FR-234938|FR233623|http://www.drugbank.ca/drugs/DB03220
FRAMYCETIN|Neomycin|http://www.drugbank.ca/drugs/DB00994
FROVATRIPTAN|Frovatriptan|http://www.drugbank.ca/drugs/DB00998
FUMARIC ACID|Maleic Acid|http://www.drugbank.ca/drugs/DB04299
FURAZABOL|Furazabol|http://www.drugbank.ca/drugs/DB01514
FUROSEMIDE|Furosemide|http://www.drugbank.ca/drugs/DB00695
FUSIDIC ACID|Fusidic Acid|http://www.drugbank.ca/drugs/DB02703
GABAPENTIN|Gabapentin|http://www.drugbank.ca/drugs/DB00996
GABOXADOL|Gaboxadol|http://www.drugbank.ca/drugs/DB06554
GADOPENTETATE DIMEGLUMINE|Gadopentetate dimeglumine|http://www.drugbank.ca/drugs/DB00789
GADOVERSETAMIDE|Gadoversetamide|http://www.drugbank.ca/drugs/DB00538
GALANTAMINE|Galantamine|http://www.drugbank.ca/drugs/DB00674
GALLAMINE TRIETHIODIDE|Gallamine Triethiodide|http://www.drugbank.ca/drugs/DB00483
GALLIUM NITRATE ANHYDROUS|Gallium nitrate|http://www.drugbank.ca/drugs/DB05260
GANCICLOVIR|Ganciclovir|http://www.drugbank.ca/drugs/DB01004
GEFITINIB|Gefitinib|http://www.drugbank.ca/drugs/DB00317
GEMCABENE|Gemcabene|http://www.drugbank.ca/drugs/DB05123
GEMCITABINE|Gemcitabine|http://www.drugbank.ca/drugs/DB00441
GEMFIBROZIL|Gemfibrozil|http://www.drugbank.ca/drugs/DB01241
GENISTEIN|Genistein|http://www.drugbank.ca/drugs/DB01645
GENTAMICIN C1A|GENTAMICIN C1A|http://www.drugbank.ca/drugs/DB04729
GENTIAN VIOLET CATION|Gentian Violet|http://www.drugbank.ca/drugs/DB00406
GESTODENE|Gestodene|http://www.drugbank.ca/drugs/DB06730
GIBBERELLIC ACID|GIBBERELLIN A3|http://www.drugbank.ca/drugs/DB07814
GINKGOLIDE A|ginkgolide-A|http://www.drugbank.ca/drugs/DB06743
GINKGOLIDE C|ginkgolide-C|http://www.drugbank.ca/drugs/DB06745
GINKGOLIDE J|ginkgolide-J|http://www.drugbank.ca/drugs/DB06746
GLIPIZIDE|Glipizide|http://www.drugbank.ca/drugs/DB01067
GLIQUIDONE|Gliquidone|http://www.drugbank.ca/drugs/DB01251
GLISOXEPIDE|Glisoxepide|http://www.drugbank.ca/drugs/DB01289
GLUCONOLACTONE|Gluconolactone|http://www.drugbank.ca/drugs/DB04564
GLUCURONIC ACID|D-Glucuronic Acid|http://www.drugbank.ca/drugs/DB03156
GLUTAMIC ACID|D-Glutamic Acid|http://www.drugbank.ca/drugs/DB02517
GLUTAMINE|D-Glutamine|http://www.drugbank.ca/drugs/DB02174
GLUTARAL|Pentanedial|http://www.drugbank.ca/drugs/DB03266
GLUTARIC ACID|Glutaric Acid|http://www.drugbank.ca/drugs/DB03553
GLUTATHIONE|Glutathione|http://www.drugbank.ca/drugs/DB00143
GLYBURIDE|Glyburide|http://www.drugbank.ca/drugs/DB01016
GLYCERIN|Glycerol|http://www.drugbank.ca/drugs/DB04077
GLYCEROL PHENYLBUTYRATE|Glycerol Phenylbutyrate|http://www.drugbank.ca/drugs/DB08909
GLYCERYL 1-PHOSPHATE, (R)-|3-Phosphoglycerol|http://www.drugbank.ca/drugs/DB02515
GLYCERYL 2-PHOSPHATE|Glycerol-2-Phosphate|http://www.drugbank.ca/drugs/DB01779
GLYCINE|Glycine|http://www.drugbank.ca/drugs/DB00145
GLYCOCHENODEOXYCHOLIC ACID|Glycochenodeoxycholic Acid|http://www.drugbank.ca/drugs/DB02123
GLYCOCYAMINE|N-[Amino(Imino)Methyl]Glycine|http://www.drugbank.ca/drugs/DB02751
GLYCOLIC ACID|Hydroxyacetic Acid|http://www.drugbank.ca/drugs/DB03085
GLYMIDINE|Glycodiazine|http://www.drugbank.ca/drugs/DB01382
GLYOXYLIC ACID|Glyoxalate, Glyoxylate|http://www.drugbank.ca/drugs/DB04343
GOSERELIN|Goserelin|http://www.drugbank.ca/drugs/DB00014
GRISEOFULVIN|Griseofulvin|http://www.drugbank.ca/drugs/DB00400
GUANABENZ|Guanabenz|http://www.drugbank.ca/drugs/DB00629
GUANETHIDINE|Guanethidine|http://www.drugbank.ca/drugs/DB01170
GUANFACINE|Guanfacine|http://www.drugbank.ca/drugs/DB01018
GUANIDINE|Guanidine|http://www.drugbank.ca/drugs/DB00536
GUVACINE|Guvacine|http://www.drugbank.ca/drugs/DB08848
GW-501516|GW 501516|http://www.drugbank.ca/drugs/DB05416
HADACIDIN|Hadacidin|http://www.drugbank.ca/drugs/DB02109
HALAZEPAM|Halazepam|http://www.drugbank.ca/drugs/DB00801
HALOPERIDOL|Haloperidol|http://www.drugbank.ca/drugs/DB00502
HALOPROGIN|Haloprogin|http://www.drugbank.ca/drugs/DB00793
HEPTABARBITAL|Heptabarbital|http://www.drugbank.ca/drugs/DB01354
HEPTANAMIDE|Heptanamide|http://www.drugbank.ca/drugs/DB02641
HEPTANOIC ACID|Heptanoic Acid|http://www.drugbank.ca/drugs/DB02938
HESPERETIN|Hesperetin|http://www.drugbank.ca/drugs/DB01094
HETACILLIN|Hetacillin|http://www.drugbank.ca/drugs/DB00739
HEXACHLOROPHENE|Hexachlorophene|http://www.drugbank.ca/drugs/DB00756
HEXAMETHYLENEDIAMINE|1,6-Diaminohexane|http://www.drugbank.ca/drugs/DB03260
HEXANE|Hexane|http://www.drugbank.ca/drugs/DB02764
HEXANEDIOL|Hexane-1,6-Diol|http://www.drugbank.ca/drugs/DB02210
HISTAMINE PHOSPHATE|Histamine Phosphate|http://www.drugbank.ca/drugs/DB00667
HISTIDINE|L-Histidine|http://www.drugbank.ca/drugs/DB00117
HOMOSERINE|L-Homoserine|http://www.drugbank.ca/drugs/DB04193
HUPERZINE A|Huperaine A|http://www.drugbank.ca/drugs/DB01928
HYDRACRYLIC ACID|3-Hydroxy-Propanoic Acid|http://www.drugbank.ca/drugs/DB03688
HYDRALAZINE|Hydralazine|http://www.drugbank.ca/drugs/DB01275
HYDROCHLOROTHIAZIDE|Hydrochlorothiazide|http://www.drugbank.ca/drugs/DB00999
HYDROCODONE|Hydrocodone|http://www.drugbank.ca/drugs/DB00956
HYDROCORTAMATE|Hydrocortamate|http://www.drugbank.ca/drugs/DB00769
HYDROFLUMETHIAZIDE|Hydroflumethiazide|http://www.drugbank.ca/drugs/DB00774
HYDROMORPHINOL|Hydromorphinol|http://www.drugbank.ca/drugs/DB01512
HYDROMORPHONE|Hydromorphone|http://www.drugbank.ca/drugs/DB00327
HYDROOROTIC ACID, L-|Dihydroorotic Acid|http://www.drugbank.ca/drugs/DB02129
HYDROXYPYRUVIC ACID|3-Hydroxypyruvic Acid|http://www.drugbank.ca/drugs/DB02951
HYDROXYUREA|Hydroxyurea|http://www.drugbank.ca/drugs/DB01005
HYMECROMONE|7-hydroxy-4-methyl-2H-chromen-2-one|http://www.drugbank.ca/drugs/DB07118
HYOSCYAMINE|Hyoscyamine|http://www.drugbank.ca/drugs/DB00424
IBANDRONIC ACID|Ibandronate|http://www.drugbank.ca/drugs/DB00710
IBUDILAST|Ibudilast|http://www.drugbank.ca/drugs/DB05266
ICOSAPENT|Icosapent|http://www.drugbank.ca/drugs/DB00159
ICOSAPENT ETHYL|Icosapent ethyl |http://www.drugbank.ca/drugs/DB08887
IDARUBICIN|Idarubicin|http://www.drugbank.ca/drugs/DB01177
IDOXURIDINE|Idoxuridine|http://www.drugbank.ca/drugs/DB00249
IDRONOXIL|Phenoxodiol|http://www.drugbank.ca/drugs/DB04915
ILOPERIDONE|Iloperidone|http://www.drugbank.ca/drugs/DB04946
IMATINIB|Imatinib|http://www.drugbank.ca/drugs/DB00619
IMIPENEM ANHYDROUS|Imipenem|http://www.drugbank.ca/drugs/DB01598
IMIPRAMINE|Imipramine|http://www.drugbank.ca/drugs/DB00458
IMIQUIMOD|Imiquimod|http://www.drugbank.ca/drugs/DB00724
IMPLITAPIDE|Implitapide|http://www.drugbank.ca/drugs/DB04852
INAMRINONE|Amrinone|http://www.drugbank.ca/drugs/DB01427
INDACATEROL|Indacaterol|http://www.drugbank.ca/drugs/DB05039
INDECAINIDE|Indecainide|http://www.drugbank.ca/drugs/DB00192
INDENE|Indene|http://www.drugbank.ca/drugs/DB02815
INDINAVIR ANHYDROUS|Indinavir|http://www.drugbank.ca/drugs/DB00224
INDOLEBUTYRIC ACID|3-Indolebutyric Acid|http://www.drugbank.ca/drugs/DB02740
INDOMETHACIN|Indomethacin|http://www.drugbank.ca/drugs/DB00328
INGENOL MEBUTATE|Ingenol Mebutate |http://www.drugbank.ca/drugs/DB05013
INOSINE|Inosine|http://www.drugbank.ca/drugs/DB04335
IOBENGUANE|Iobenguane|http://www.drugbank.ca/drugs/DB06704
IODINE|molecular iodine|http://www.drugbank.ca/drugs/DB05382
IODIPAMIDE|Iodipamide|http://www.drugbank.ca/drugs/DB04711
IODOBENZENE|Iodophenyl|http://www.drugbank.ca/drugs/DB02252
IPRONIAZID|Iproniazid|http://www.drugbank.ca/drugs/DB04818
IRBESARTAN|Irbesartan|http://www.drugbank.ca/drugs/DB01029
IRINOTECAN|Irinotecan|http://www.drugbank.ca/drugs/DB00762
IRON|Iron|http://www.drugbank.ca/drugs/DB01592
ISATIN|Isatin|http://www.drugbank.ca/drugs/DB02095
ISATORIBINE ANHYDROUS|Isatoribine|http://www.drugbank.ca/drugs/DB04860
ISOAMYL ALCOHOL|1-Hydroxy-3-Methylbutane|http://www.drugbank.ca/drugs/DB02296
ISOBUTYLBENZENE|Isobutylbenzene|http://www.drugbank.ca/drugs/DB04078
ISOBUTYLMETHYLXANTHINE|3-ISOBUTYL-1-METHYLXANTHINE|http://www.drugbank.ca/drugs/DB07954
ISOBUTYRIC ACID|Isobutyric Acid|http://www.drugbank.ca/drugs/DB02531
ISOCAPROIC ACID|4-Methyl Valeric Acid|http://www.drugbank.ca/drugs/DB03993
ISOCARBOXAZID|Isocarboxazid|http://www.drugbank.ca/drugs/DB01247
ISOFLUROPHATE|Isoflurophate|http://www.drugbank.ca/drugs/DB00677
ISOLEUCINE|L-Isoleucine|http://www.drugbank.ca/drugs/DB00167
ISONIAZID|Isoniazid|http://www.drugbank.ca/drugs/DB00951
ISOPROPAMIDE|Isopropamide|http://www.drugbank.ca/drugs/DB01625
ISOQUINOLINE|Isoquinoline|http://www.drugbank.ca/drugs/DB04329
ISOSORBIDE DINITRATE|Isosorbide Dinitrate|http://www.drugbank.ca/drugs/DB00883
ISOSORBIDE MONONITRATE|Isosorbide Mononitrate|http://www.drugbank.ca/drugs/DB01020
ISOTRETINOIN|Isotretinoin|http://www.drugbank.ca/drugs/DB00982
ISOVALERIC ACID|Isovaleric Acid|http://www.drugbank.ca/drugs/DB03750
ISOVALINE, D-|D-Isovaline|http://www.drugbank.ca/drugs/DB04171
ITOPRIDE|Itopride|http://www.drugbank.ca/drugs/DB04924
IVACAFTOR|Ivacaftor|http://www.drugbank.ca/drugs/DB08820
JOSAMYCIN|Josamycin|http://www.drugbank.ca/drugs/DB01321
K201 FREE BASE|K201|http://www.drugbank.ca/drugs/DB02929
K252A|K-252a|http://www.drugbank.ca/drugs/DB02152
KAEMPFEROL|Kaempherol|http://www.drugbank.ca/drugs/DB01852
KANAMYCIN A|Kanamycin|http://www.drugbank.ca/drugs/DB01172
KETOBEMIDONE|Ketobemidone|http://www.drugbank.ca/drugs/DB06738
KETOTIFEN|Ketotifen|http://www.drugbank.ca/drugs/DB00920
L-2,4-DIAMINOBUTYRIC ACID|2,4-Diaminobutyric Acid|http://www.drugbank.ca/drugs/DB03817
LACOSAMIDE|Lacosamide|http://www.drugbank.ca/drugs/DB06218
LACTIC ACID, D-|Lactic Acid|http://www.drugbank.ca/drugs/DB04398
LAMIVUDINE|Lamivudine|http://www.drugbank.ca/drugs/DB00709
LAMOTRIGINE|Lamotrigine|http://www.drugbank.ca/drugs/DB00555
LAPATINIB|Lapatinib|http://www.drugbank.ca/drugs/DB01259
LATANOPROST|Latanoprost|http://www.drugbank.ca/drugs/DB00654
LATRUNCULIN B|LATRUNCULIN B|http://www.drugbank.ca/drugs/DB08080
LAURAMINE OXIDE|Lauryl Dimethylamine-N-Oxide|http://www.drugbank.ca/drugs/DB04147
LAURTRIMONIUM|Dodecane-Trimethylamine|http://www.drugbank.ca/drugs/DB02779
LAURYL ALCOHOL|1-DODECANOL|http://www.drugbank.ca/drugs/DB06894
LAURYL SULFATE|Dodecyl Sulfate|http://www.drugbank.ca/drugs/DB03967
LEFLUNOMIDE|Leflunomide|http://www.drugbank.ca/drugs/DB01097
LEFRADAFIBAN|Lefradafiban|http://www.drugbank.ca/drugs/DB04863
LESOPITRON|Lesopitron|http://www.drugbank.ca/drugs/DB04970
LETROZOLE|Letrozole|http://www.drugbank.ca/drugs/DB01006
LEUCINE|D-Leucine|http://www.drugbank.ca/drugs/DB01746
LEVALLORPHAN|Levallorphan|http://www.drugbank.ca/drugs/DB00504
LEVAMISOLE|Levamisole|http://www.drugbank.ca/drugs/DB00848
LEVOBUNOLOL|Levobunolol|http://www.drugbank.ca/drugs/DB01210
LEVOBUPIVACAINE|Levobupivacaine|http://www.drugbank.ca/drugs/DB01002
LEVOCARNITINE|L-Carnitine|http://www.drugbank.ca/drugs/DB00583
LEVODOPA|L-DOPA|http://www.drugbank.ca/drugs/DB01235
LEVOFLOXACIN ANHYDROUS|Levofloxacin|http://www.drugbank.ca/drugs/DB01137
LEVOLEUCOVORIN|Leucovorin|http://www.drugbank.ca/drugs/DB00650
LEVOMENTHOL|Menthol|http://www.drugbank.ca/drugs/DB00825
LEVOMEPROMAZINE|Methotrimeprazine|http://www.drugbank.ca/drugs/DB01403
LEVOMETHADYL ACETATE|Levomethadyl Acetate|http://www.drugbank.ca/drugs/DB01227
LEVOMILNACIPRAN|Levomilnacipran|http://www.drugbank.ca/drugs/DB08918
LEVONORDEFRIN|Levonordefrin|http://www.drugbank.ca/drugs/DB06707
LEVONORGESTREL|Levonorgestrel|http://www.drugbank.ca/drugs/DB00367
LEVORPHANOL|Levorphanol|http://www.drugbank.ca/drugs/DB00854
LEVOSIMENDAN|Levosimendan|http://www.drugbank.ca/drugs/DB00922
LEVOTHYROXINE|Levothyroxine|http://www.drugbank.ca/drugs/DB00451
LEVULINIC ACID|Laevulinic Acid|http://www.drugbank.ca/drugs/DB02239
LICOFELONE|Licofelone|http://www.drugbank.ca/drugs/DB04725
LIDOCAINE|lidocaine patch|http://www.drugbank.ca/drugs/DB05291
LIMONENE OXIDE, CIS-(+)-|D-Limonene 1,2-Epoxide|http://www.drugbank.ca/drugs/DB02924
LINAGLIPTIN|Linagliptin |http://www.drugbank.ca/drugs/DB08882
LINDANE|Lindane|http://www.drugbank.ca/drugs/DB00431
LINEZOLID|Linezolid|http://www.drugbank.ca/drugs/DB00601
LINOLENIC ACID|Alpha-Linolenic Acid|http://www.drugbank.ca/drugs/DB00132
LINTITRIPT|Lintitript|http://www.drugbank.ca/drugs/DB04867
LIOTHYRONINE|Liothyronine|http://www.drugbank.ca/drugs/DB00279
LISDEXAMFETAMINE|Lisdexamfetamine|http://www.drugbank.ca/drugs/DB01255
LISINOPRIL ANHYDROUS|Lisinopril|http://www.drugbank.ca/drugs/DB00722
LITHIUM CATION|Lithium|http://www.drugbank.ca/drugs/DB01356
LIVIDOMYCIN|Lividomycin A|http://www.drugbank.ca/drugs/DB04728
LOBELINE|Lobeline|http://www.drugbank.ca/drugs/DB05137
LOMITAPIDE|Lomitapide|http://www.drugbank.ca/drugs/DB08827
LOMUSTINE|Lomustine|http://www.drugbank.ca/drugs/DB01206
LOPERAMIDE|Loperamide|http://www.drugbank.ca/drugs/DB00836
LOPINAVIR|Lopinavir|http://www.drugbank.ca/drugs/DB01601
LORACARBEF ANHYDROUS|Loracarbef|http://www.drugbank.ca/drugs/DB00447
LORATADINE|Loratadine|http://www.drugbank.ca/drugs/DB00455
LOSARTAN|Losartan|http://www.drugbank.ca/drugs/DB00678
LOTEPREDNOL|Loteprednol|http://www.drugbank.ca/drugs/DB00873
LOVASTATIN|Lovastatin|http://www.drugbank.ca/drugs/DB00227
LOXAPINE|Loxapine|http://www.drugbank.ca/drugs/DB00408
LUCANTHONE|Lucanthone|http://www.drugbank.ca/drugs/DB04967
LUMIRACOXIB|Lumiracoxib|http://www.drugbank.ca/drugs/DB01283
LURASIDONE|Lurasidone|http://www.drugbank.ca/drugs/DB08815
LYSERGIDE|Lysergic Acid Diethylamide|http://www.drugbank.ca/drugs/DB04829
LYSINE|D-Lysine|http://www.drugbank.ca/drugs/DB03252
MACITENTAN|MACITENTAN|http://www.drugbank.ca/drugs/DB08932
MAGNESIUM CATION|Magnesium|http://www.drugbank.ca/drugs/DB01378
MAGNESIUM SALICYLATE ANHYDROUS|Magnesium salicylate|http://www.drugbank.ca/drugs/DB01397
MAGNESIUM SULFATE ANHYDROUS|Magnesium Sulfate|http://www.drugbank.ca/drugs/DB00653
MALACHITE GREEN CATION|Malachite Green|http://www.drugbank.ca/drugs/DB03895
MALONDIALDEHYDE|Malonaldehyde|http://www.drugbank.ca/drugs/DB03057
MALONIC ACID|Malonic acid|http://www.drugbank.ca/drugs/DB02175
M-AMINOBENZOIC ACID|Gabaculine|http://www.drugbank.ca/drugs/DB02054
MANDELIC ACID, (S)-|(S)-Mandelic Acid|http://www.drugbank.ca/drugs/DB03357
MANNITOL|Mannitol|http://www.drugbank.ca/drugs/DB00742
MAPROTILINE|Maprotiline|http://www.drugbank.ca/drugs/DB00934
MARIMASTAT|Marimastat|http://www.drugbank.ca/drugs/DB00786
MASOPROCOL|Masoprocol|http://www.drugbank.ca/drugs/DB00179
M-CHLOROPHENOL|3-Chlorophenol|http://www.drugbank.ca/drugs/DB01957
M-DINITROBENZENE|Dinitrophenylene|http://www.drugbank.ca/drugs/DB02680
MDL-72527 FREE BASE|MDL72527|http://www.drugbank.ca/drugs/DB04188
MEBENDAZOLE|Mebendazole|http://www.drugbank.ca/drugs/DB00643
MECHLORETHAMINE|Mechlorethamine|http://www.drugbank.ca/drugs/DB00888
MECLOFENAMIC ACID|Meclofenamic acid|http://www.drugbank.ca/drugs/DB00939
MEDROXYPROGESTERONE ACETATE|Medroxyprogesterone Acetate|http://www.drugbank.ca/drugs/DB00603
MEDRYSONE|Medrysone|http://www.drugbank.ca/drugs/DB00253
MEFENAMIC ACID|Mefenamic acid|http://www.drugbank.ca/drugs/DB00784
